method,source_method,query_idx,query_name,k,effective_k,temperature,status,skip_reason,norm_l2,acc_at_0_1,recall,cosine,module,edit_cost,provenance_max_weight,provenance_entropy_norm,provenance_effective_exemplars,topk_names,topk_scores,weights,metric_impl
EPR-K5,TRR,1074,Acoustic Sim Natural,5,5,0.05,ok,,0.07371519873099056,0.9230769230769231,0.8571428571428571,0.9813604789154974,1.0,0.8605291667,0.2,1.0,5.0,"[""Acoustic Sim"", ""Acoustic Sim - Warm Room Take"", ""Acoustic Sim - Open Chord Mix"", ""Acoustic Sim - Glass Tone Pass"", ""Acoustic Sim - Natural Body Edit""]","[1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002]","[0.2, 0.2, 0.2, 0.2, 0.2]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,27,Wah-Wah Rock,3,3,0.05,ok,,0.18279219566741237,0.7555555555555555,0.5909090909090909,0.8492477393354252,0.3333333333333333,4.4495496196,0.4815357248,0.9574234951,2.7301573377,"[""Shimmer Reverb"", ""Lo-Fi Hip Hop"", ""Lo-Fi Hip Hop Chill""]","[0.9937628898733539, 0.9628000659317111, 0.9628000659317111]","[0.4815357247964281, 0.259232137601786, 0.259232137601786]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,27,Wah-Wah Rock,5,5,0.05,ok,,0.18093598572722577,0.7555555555555555,0.5909090909090909,0.8510510261781422,0.3333333333333333,4.1721197946,0.3171202199,0.976335931,4.605187334,"[""Shimmer Reverb"", ""Lo-Fi Hip Hop"", ""Lo-Fi Hip Hop Chill"", ""Lo-Fi Hip Hop - Alt Take"", ""Lo-Fi Hip Hop - Studio Mix""]","[0.9937628898733539, 0.9628000659317111, 0.9628000659317111, 0.9628000659317111, 0.9628000659317111]","[0.3171202198562566, 0.17071994503593585, 0.17071994503593585, 0.17071994503593585, 0.17071994503593585]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,75,Breakbeat Hardcore,3,3,0.05,ok,,0.1837334591881427,0.8444444444444444,0.782608695652174,0.8924650684005707,0.8333333333333334,3.2043998599,0.4791037271,0.9587435856,2.7380028121,"[""Gabber Hardcore"", ""VHS Glitch"", ""Film Noir Jazz""]","[0.8076250690002146, 0.7777944741729155, 0.7764958951145576]","[0.4791037270833415, 0.2638300713189855, 0.25706620159767296]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,75,Breakbeat Hardcore,5,5,0.05,ok,,0.1938666535898715,0.8,0.7391304347826086,0.8789837560854156,0.8333333333333334,3.4865783579,0.370400027,0.9352995695,4.0910624226,"[""Gabber Hardcore"", ""VHS Glitch"", ""Film Noir Jazz"", ""Jazz Fusion Complex"", ""Zeuhl Avant""]","[0.8076250690002146, 0.7777944741729155, 0.7764958951145576, 0.75432318468841, 0.7418207497620061]","[0.3704000270413692, 0.2039697460626923, 0.19874052870107775, 0.12755477619329975, 0.09933492200156085]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,696,Granular Texture Prism,3,3,0.05,ok,,0.11984022055208576,0.7948717948717948,0.7142857142857143,0.9758664518513768,1.0,2.0131561714,0.6775799407,0.7636819549,1.9406870713,"[""Granular Texture Void"", ""Dark Ambient Drone Static"", ""Microtonal Fusion Drift""]","[0.8846487295816045, 0.8253530936710978, 0.7961605828564056]","[0.6775799406673295, 0.20697847889878823, 0.11544158043388218]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,696,Granular Texture Prism,5,5,0.05,ok,,0.10877758132279226,0.8205128205128205,0.75,0.9800133335569234,1.0,1.8247214446,0.5926658699,0.7432435841,2.4856228379,"[""Granular Texture Void"", ""Dark Ambient Drone Static"", ""Microtonal Fusion Drift"", ""Prepared Guitar Prism"", ""Spectral Freeze Echo""]","[0.8846487295816045, 0.8253530936710978, 0.7961605828564056, 0.78031215832871, 0.7627620735866822]","[0.592665869943384, 0.18104001150815552, 0.10097448373117815, 0.07354513931445021, 0.05177449550283212]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,616,Drum and Bass Wave,3,3,0.05,ok,,0.17258991907986154,0.7272727272727273,0.5714285714285714,0.921416230639148,0.8333333333333334,5.0919203845,0.6983017988,0.6866368446,1.8121846555,"[""Afrobeat Guitar Mystic"", ""Afrobeat Guitar Heritage"", ""Latin Jazz Improv""]","[0.9093274452106097, 0.8574659527480217, 0.78152476064231]","[0.6983017987599903, 0.24750271125386894, 0.054195489986140676]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,616,Drum and Bass Wave,5,5,0.05,ok,,0.17210525614176994,0.7272727272727273,0.5714285714285714,0.9218945689686284,0.8333333333333334,5.0842336337,0.6485930072,0.6249679028,2.0892241131,"[""Afrobeat Guitar Mystic"", ""Afrobeat Guitar Heritage"", ""Latin Jazz Improv"", ""Synth Pop Hazy"", ""Country Rock Twang Pickin""]","[0.9093274452106097, 0.8574659527480217, 0.78152476064231, 0.7713191568579021, 0.7558822575698577]","[0.648593007208998, 0.22988416766158382, 0.05033757021633797, 0.04104379409916916, 0.03014146081391102]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,547,Latin Rock Fusion Sahara,3,3,0.05,ok,,0.062463077978951946,0.8974358974358975,0.8333333333333334,0.9874701573516537,1.0,1.184967753,0.4290988753,0.9705024138,2.8231492116,"[""Latin Jazz Improv"", ""Free Jazz Avantgarde Nocturne"", ""Drum and Bass Cyber""]","[0.8386571278714111, 0.8277695458327188, 0.8065477336287741]","[0.4290988753478674, 0.3451350294830873, 0.2257660951690454]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,547,Latin Rock Fusion Sahara,5,5,0.05,ok,,0.0692091664778585,0.8461538461538461,0.75,0.9861355388256685,1.0,1.3571543832,0.3055019694,0.9684451419,4.5214098505,"[""Latin Jazz Improv"", ""Free Jazz Avantgarde Nocturne"", ""Drum and Bass Cyber"", ""Dubstep Wobble Beat"", ""Afrobeat Guitar Sunset""]","[0.8386571278714111, 0.8277695458327188, 0.8065477336287741, 0.8038740894249925, 0.798070875670823]","[0.3055019694439493, 0.24572292608713944, 0.16073681538293091, 0.1523675137694759, 0.1356707753165045]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,649,UK Garage Pulse,3,3,0.05,ok,,0.2006929472944909,0.7045454545454546,0.5357142857142857,0.9021303661389326,0.8333333333333334,5.6033848093,0.4028586421,0.9902372497,2.9352391464,"[""Contemporary Jazz Crescendo"", ""Afrobeat Guitar Moonrise"", ""Power Pop Sparkle""]","[0.739262237374237, 0.7254751571191637, 0.7230623061027125]","[0.40285864205598443, 0.305773346926902, 0.2913680110171135]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,649,UK Garage Pulse,5,5,0.05,ok,,0.2090360016603263,0.7045454545454546,0.5357142857142857,0.8952608130180467,0.8333333333333334,5.9379388011,0.2714578702,0.9862066339,4.7855171608,"[""Contemporary Jazz Crescendo"", ""Afrobeat Guitar Moonrise"", ""Power Pop Sparkle"", ""Mathcore Dissonant Wrath"", ""Bossa Nova Acoustic Sahara""]","[0.739262237374237, 0.7254751571191637, 0.7230623061027125, 0.7204527523798822, 0.7060906354807212]","[0.27145787023121287, 0.2060389746304899, 0.19633224031276622, 0.1863482534276283, 0.1398226613979027]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,587,Future Bass Pluck Cyber,3,3,0.05,ok,,0.12937906459818227,0.6818181818181818,0.5,0.9583079778844644,0.8333333333333334,4.0850755372,0.3819490634,0.9947186297,2.9651636419,"[""Hyperpop Glitch Wave"", ""Contemporary Jazz Velvet"", ""Synth Pop Glimmer""]","[0.7792000157530536, 0.7707631843338694, 0.7663532864163047]","[0.38194906338307577, 0.32264434884154625, 0.2954065877753778]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,587,Future Bass Pluck Cyber,5,5,0.05,ok,,0.14016786461406885,0.6590909090909091,0.4642857142857143,0.9510386073592868,0.8333333333333334,4.4896447769,0.2495969766,0.9936720087,4.8978660541,"[""Hyperpop Glitch Wave"", ""Contemporary Jazz Velvet"", ""Synth Pop Glimmer"", ""Trap Metal Bass"", ""Nu Metal 7-String Doom""]","[0.7792000157530536, 0.7707631843338694, 0.7663532864163047, 0.7630846320579876, 0.7587138106887961]","[0.2495969766435563, 0.21084239162333077, 0.1930429951476895, 0.18082683302851504, 0.16569080355690832]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,836,Smooth Jazz Lead Nocturne,3,3,0.05,ok,,0.035357077266101745,0.9743589743589743,0.9583333333333334,0.9955497094992214,1.0,0.6649959612,0.4867940733,0.9529362989,2.706446697,"[""Lo-Fi Bedroom Pop Sparkle"", ""Latin Rock Fusion Tropical"", ""Philadelphia Soul Philly""]","[0.8470368317803357, 0.8188399940688601, 0.8108866015737881]","[0.486794073262361, 0.2769686801979664, 0.23623724653967262]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,836,Smooth Jazz Lead Nocturne,5,5,0.05,ok,,0.03802240207403794,0.9487179487179487,0.9166666666666666,0.994858115608596,1.0,0.7014256607,0.3522526909,0.9548982745,4.3073877794,"[""Lo-Fi Bedroom Pop Sparkle"", ""Latin Rock Fusion Tropical"", ""Philadelphia Soul Philly"", ""Indian Classical Sitar Heritage"", ""Free Jazz Avantgarde Velvet""]","[0.8470368317803357, 0.8188399940688601, 0.8108866015737881, 0.8056338981883446, 0.7942186285463222]","[0.3522526909084519, 0.20041937290496528, 0.17094539633302736, 0.15389801120403687, 0.12248452864951868]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,46,Telephone EQ,3,3,0.05,ok,,0.6119945677491965,0.48717948717948717,0.34615384615384615,0.41685753107100953,1.0,14.1388312658,0.3333333333,1.0,3.0,"[""Reverse Psychedelic"", ""Reverse Psychedelic Delay"", ""Reverse Psychedelic - Alt Take""]","[0.992834767187732, 0.992834767187732, 0.992834767187732]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,46,Telephone EQ,5,5,0.05,ok,,0.6106064569630745,0.48717948717948717,0.34615384615384615,0.421546416011389,1.0,14.1267253818,0.2,1.0,5.0,"[""Reverse Psychedelic"", ""Reverse Psychedelic Delay"", ""Reverse Psychedelic - Alt Take"", ""Reverse Psychedelic - Studio Mix"", ""Reverse Psychedelic - Session Pass""]","[0.992834767187732, 0.992834767187732, 0.992834767187732, 0.992834767187732, 0.992834767187732]","[0.2, 0.2, 0.2, 0.2, 0.2]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,224,Skweee Synth,3,3,0.05,ok,,0.10998388708961815,0.7435897435897436,0.7058823529411765,0.9760869119868966,1.0,2.6040691133,0.4162795347,0.9819013738,2.8857721624,"[""Indie Folk Fingerstyle"", ""Impressionist Piano"", ""Stadium Anthem""]","[0.8069588229741899, 0.7953107060949686, 0.7822479858579172]","[0.4162795346913986, 0.3297697406819684, 0.253950724626633]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,224,Skweee Synth,5,5,0.05,ok,,0.11489726317224638,0.7435897435897436,0.7058823529411765,0.973912359632123,1.0,2.6838138133,0.2935052551,0.9743686937,4.6138776653,"[""Indie Folk Fingerstyle"", ""Impressionist Piano"", ""Stadium Anthem"", ""Neofolk Acoustic"", ""Tango Dramatic""]","[0.8069588229741899, 0.7953107060949686, 0.7822479858579172, 0.7795331004970097, 0.7644166448588717]","[0.29350525506445846, 0.232509993370571, 0.17905245392522073, 0.16958954804803983, 0.12534274959170993]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,714,Overtone Drone Echo,3,3,0.05,ok,,0.3036898612187353,0.6153846153846154,0.4642857142857143,0.7650981474189813,0.5714285714285714,11.4249562323,0.6806037793,0.7686245823,1.9405991987,"[""Contemporary Jazz Vibe"", ""Dark Ambient Drone Static"", ""Reverse Ambient Flux""]","[0.8754640591663296, 0.8097609166195513, 0.795131369796954]","[0.6806037793369607, 0.18289595953997245, 0.1365002611230669]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,714,Overtone Drone Echo,5,5,0.05,ok,,0.299233690339446,0.6153846153846154,0.4642857142857143,0.7743301389932989,0.5714285714285714,11.2793430871,0.5728067262,0.7812926279,2.6487129901,"[""Contemporary Jazz Vibe"", ""Dark Ambient Drone Static"", ""Reverse Ambient Flux"", ""Dark Ambient Drone Glitch"", ""Mathcore Dissonant Venom""]","[0.8754640591663296, 0.8097609166195513, 0.795131369796954, 0.7766271075103005, 0.7764337986767984]","[0.5728067261934531, 0.15392808414928616, 0.11488074276435237, 0.07934530881913822, 0.07903913807377018]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,875,Latin Jazz Velvet,3,3,0.05,ok,,0.057905497587397964,0.8974358974358975,0.8333333333333334,0.9906167817654729,1.0,1.0575702697,0.5227282455,0.8427900373,2.3244212839,"[""Acid Jazz Funk Groove"", ""Bluegrass Flatpick Twang"", ""Gypsy Jazz Manouche Nocturne""]","[0.8555419299821991, 0.8403020949295744, 0.7686120355102901]","[0.5227282454756501, 0.3853935503342786, 0.09187820419007135]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,875,Latin Jazz Velvet,5,5,0.05,ok,,0.050873183287229194,0.9230769230769231,0.875,0.9922347150572493,1.0,0.8951079232,0.4552995896,0.7953575665,2.9874180966,"[""Acid Jazz Funk Groove"", ""Bluegrass Flatpick Twang"", ""Gypsy Jazz Manouche Nocturne"", ""Deathcore Breakdown Chaos"", ""K-Pop Shimmer Voyage""]","[0.8555419299821991, 0.8403020949295744, 0.7686120355102901, 0.7609393926372283, 0.7545035950566399]","[0.45529958964318834, 0.33568020637312634, 0.0800264937411751, 0.0686420207208068, 0.06035168952170346]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,149,J-Rock Power,3,3,0.05,ok,,0.09605629464714224,0.7948717948717948,0.7647058823529411,0.9782969161285969,1.0,2.4228758101,0.4865460421,0.9536322951,2.7095580899,"[""Space Ambient"", ""Phonk Memphis"", ""Piano Ballad""]","[0.8171982589652017, 0.7882761826100677, 0.78199111962002]","[0.486546042105155, 0.2728412187066985, 0.2406127391881464]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,149,J-Rock Power,5,5,0.05,ok,,0.07524985527332072,0.8205128205128205,0.7941176470588235,0.9865659300778566,1.0,1.914656646,0.3383586119,0.9657598957,4.4467246454,"[""Space Ambient"", ""Phonk Memphis"", ""Piano Ballad"", ""Russian Synthpop"", ""Scottish Bagpipe Rock""]","[0.8171982589652017, 0.7882761826100677, 0.78199111962002, 0.7781861856247629, 0.7763584440390274]","[0.3383586118630318, 0.18974191141537236, 0.16732926667332218, 0.1550681733168682, 0.1495020367314055]",epr_rcpp_softmax_topk_observed_kb_range
