k,post_range_violations,post_switch_collisions,post_valid,pre_range_violations,pre_switch_collisions,pre_valid,query_idx,query_name,range_repaired,source_method,switch_repaired,temperature
5,[],[],True,[],"['Chorus', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,696,Granular Texture Prism,False,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Driver', 'Flanger', 'Phaser', 'Screamer']",False,616,Drum and Bass Wave,True,Wav2Vec,True,0.05
5,[],[],True,['FlangerOn.Feedback'],"['Driver', 'Flanger', 'Phaser', 'Screamer']",False,547,Latin Rock Fusion Sahara,True,Wav2Vec,True,0.05
5,[],[],True,['FlangerOn.Width'],"['Driver', 'Flanger', 'Phaser', 'Screamer']",False,649,UK Garage Pulse,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Driver', 'Phaser', 'Screamer']",False,587,Future Bass Pluck Cyber,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,836,Smooth Jazz Lead Nocturne,False,Wav2Vec,True,0.05
5,[],[],True,[],[],True,46,Telephone EQ,False,Wav2Vec,False,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Width']","['Chorus', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,224,Skweee Synth,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Compressor', 'Driver', 'Phaser', 'Screamer']",False,714,Overtone Drone Echo,False,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,875,Latin Jazz Velvet,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Frequency', 'FlangerOn.Width']","['Compressor', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,149,J-Rock Power,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,801,Funeral Doom Fury,True,Wav2Vec,True,0.05
5,[],[],True,"['DelayOn.Feedback', 'DelayOn.Mix', 'FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Frequency', 'FlangerOn.Width', 'PhaserOn.Frequency']","['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,103,Drone Metal,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,63,Art Rock Theatrical,False,Wav2Vec,True,0.05
5,[],[],True,['PhaserOn.Frequency'],"['Chorus', 'Delay', 'Flanger', 'Phaser']",False,835,Smooth Jazz Lead Velvet,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,436,Nostalgic VHS,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Compressor', 'Delay', 'Driver']",False,1008,Indie Pop Jangle Hazy,False,Wav2Vec,True,0.05
5,[],[],True,['FlangerOn.Width'],"['Chorus', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,174,Nu-Disco Groove,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Frequency']","['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Screamer']",False,813,Technical Thrash Wrath,True,Wav2Vec,True,0.05
5,[],[],True,"['DelayOn.Mix', 'FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Frequency', 'FlangerOn.Width']","['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,380,Honky Tonk Tears,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,225,Slacker Rock,True,Wav2Vec,True,0.05
5,[],[],True,['FlangerOn.Feedback'],"['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,960,Country Telecaster Frontier,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback']","['Chorus', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,119,Footwork Jungle,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Frequency', 'FlangerOn.Width']","['Driver', 'Flanger', 'Phaser', 'Screamer']",False,277,Yacht Rock Smooth,True,Wav2Vec,True,0.05
5,[],[],True,"['DelayOn.Mix', 'CompressorOn.Release', 'FlangerOn.Delay', 'FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Frequency']","['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Screamer']",False,749,Sludge Metal Wrath,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Delay', 'Driver', 'Reverb', 'Screamer']",False,16,Midwest Emo,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Delay', 'Driver', 'Reverb', 'Screamer']",False,1070,Midwest Emo Twinkled,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Delay', 'Driver', 'Reverb', 'Screamer']",False,1114,Midwest Emo - Warm Room Take,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Delay', 'Driver', 'Reverb', 'Screamer']",False,1144,Midwest Emo - Open Chord Mix,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Delay', 'Driver', 'Reverb', 'Screamer']",False,1174,Midwest Emo - Glass Tone Pass,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Delay', 'Driver', 'Reverb', 'Screamer']",False,1204,Midwest Emo - Natural Body Edit,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Delay', 'Driver', 'Reverb', 'Screamer']",False,1234,Midwest Emo - Bright Air Version,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Delay', 'Driver', 'Reverb', 'Screamer']",False,1264,Midwest Emo - Round Note Cut,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Driver', 'Flanger', 'Phaser', 'Screamer']",False,248,Talk Box Funk,False,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Driver', 'Flanger', 'Phaser', 'Screamer']",False,1054,Lo-Fi Bedroom Pop Indie,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,865,Free Jazz Avantgarde Blue,False,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Frequency', 'FlangerOn.Width']","['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,343,Emo Piano,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Driver', 'Flanger', 'Phaser', 'Screamer']",False,645,Deep House Synth,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Frequency', 'FlangerOn.Width', 'PhaserOn.Frequency']","['Driver', 'Flanger', 'Phaser', 'Screamer']",False,999,Americana Alt Outlaw,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Compressor', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,498,Spanish Guitar,False,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Frequency', 'FlangerOn.Width']","['Chorus', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,118,Flamenco Fusion,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Frequency', 'FlangerOn.Width']","['Driver', 'Flanger', 'Phaser', 'Screamer']",False,983,Country Rock Twang Outlaw,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,332,Dirty South Trap,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,84,Cloud Rap Ethereal,False,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Compressor', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,365,Ghostly Pad,True,Wav2Vec,True,0.05
5,[],[],True,"['DelayOn.Feedback', 'DelayOn.Mix']","['Delay', 'Screamer']",False,812,Technical Thrash Chaos,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,938,Modern R&B Sweet,False,Wav2Vec,True,0.05
5,[],[],True,"['DelayOn.Mix', 'FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,717,Overtone Drone Static,True,Wav2Vec,True,0.05
5,[],[],True,['FlangerOn.Width'],"['Driver', 'Flanger', 'Phaser', 'Screamer']",False,656,UK Garage Wave,True,Wav2Vec,True,0.05
5,[],[],True,['PhaserOn.Frequency'],"['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,1048,Power Pop Hazy,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Compressor', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,504,Sub-Bass Drone,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,461,Power Ballad,False,Wav2Vec,True,0.05
5,[],[],True,['FlangerOn.Feedback'],"['Driver', 'Flanger', 'Phaser', 'Screamer']",False,281,2-Step Garage,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Driver', 'Flanger', 'Phaser', 'Screamer']",False,593,Trap Metal Pulse,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Compressor', 'Delay', 'Driver']",False,429,Neo-Classical Metal,False,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Chorus', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,845,Gypsy Jazz Manouche Crescendo,True,Wav2Vec,True,0.05
5,[],[],True,['DelayOn.Mix'],"['Chorus', 'Compressor', 'Delay', 'Driver']",False,603,Hyperpop Glitch Cyber,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Frequency', 'FlangerOn.Width']","['Driver', 'Flanger', 'Phaser', 'Screamer']",False,977,Country Rock Twang Twang,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,916,Southern Soul Gospel Soulful,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Driver', 'Phaser', 'Screamer']",False,220,Sega Mauritian,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,869,Free Jazz Avantgarde Crescendo,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Compressor', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,241,Stripped Acoustic,False,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Chorus', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,831,Complex Jazz Fusion Groove,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Driver', 'Flanger', 'Phaser', 'Screamer']",False,534,Reggae Skank Mystic,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Frequency', 'FlangerOn.Width']","['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,282,3-Chord Punk,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Driver', 'Flanger', 'Phaser', 'Screamer']",False,537,K-Pop Shimmer Sunset,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,722,Modular Hybrid Echo,False,Wav2Vec,True,0.05
5,[],[],True,"['DelayOn.Feedback', 'DelayOn.Mix']","['Chorus', 'Compressor', 'Delay', 'Driver']",False,857,Cool Jazz Blue,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Driver', 'Flanger', 'Phaser', 'Screamer']",False,400,Karaoke Pop,True,Wav2Vec,True,0.05
5,[],[],True,['FlangerOn.Width'],"['Chorus', 'Compressor', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,699,Spectral Freeze Drift,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Compressor', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,1005,Indie Pop Jangle Radio,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Frequency', 'FlangerOn.Width']","['Chorus', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,849,Acid Jazz Funk Blue,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,972,Nashville Session Honky,False,Wav2Vec,True,0.05
5,[],[],True,['FlangerOn.Depth'],"['Chorus', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,716,Overtone Drone Glitch,True,Wav2Vec,True,0.05
5,[],[],True,['FlangerOn.Feedback'],['Flanger'],False,919,Southern Soul Gospel Motown,True,Wav2Vec,True,0.05
5,[],[],True,"['DelayOn.Mix', 'FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Frequency', 'FlangerOn.Width']","['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,1022,Chamber Pop Indie,True,Wav2Vec,True,0.05
5,[],[],True,['DelayOn.Mix'],"['Chorus', 'Delay']",False,862,Cool Jazz Improv,True,Wav2Vec,True,0.05
5,[],[],True,[],[],True,39,Symphonic Metal,False,Wav2Vec,False,0.05
5,[],[],True,[],"['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,945,Soul Clap Groove,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,153,Lo-Fi House,False,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Chorus', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,897,Motown Soul Groove,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Driver', 'Flanger', 'Phaser', 'Screamer']",False,133,Heartland Rock,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Chorus', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,775,Deathcore Breakdown Venom,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Compressor', 'Driver', 'Screamer']",False,695,Granular Texture Aether,False,Wav2Vec,True,0.05
5,[],[],True,['DelayOn.Mix'],"['Chorus', 'Compressor', 'Delay', 'Driver', 'Screamer']",False,91,D-beat Punk,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Driver', 'Flanger', 'Phaser', 'Screamer']",False,70,Big Band Swing,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,487,Shoegaze Drone,False,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Chorus', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,266,Urban Cowboy,True,Wav2Vec,True,0.05
5,[],[],True,['FlangerOn.Width'],"['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,672,Glitch Noise Prism,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Compressor', 'Delay', 'Driver']",False,627,Techno Industrial Cyber,False,Wav2Vec,True,0.05
5,[],[],True,[],[],True,33,Swedish Death Metal,False,Wav2Vec,False,0.05
5,[],[],True,[],"['Chorus', 'Compressor', 'Delay', 'Driver']",False,1036,Britpop Glimmer,False,Wav2Vec,True,0.05
5,[],[],True,[],['Chorus'],False,841,Gypsy Jazz Manouche Blue,False,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Delay', 'FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Frequency']","['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger']",False,193,Post-Punk Bassline,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Chorus', 'Compressor', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,188,Polka Accordion,True,Wav2Vec,True,0.05
5,[],[],True,['FlangerOn.Width'],"['Driver', 'Flanger', 'Phaser', 'Screamer']",False,297,Berlin Techno,True,Wav2Vec,True,0.05
5,[],[],True,['FlangerOn.Depth'],"['Chorus', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,247,Tabla Fusion,True,Wav2Vec,True,0.05
5,[],[],True,['FlangerOn.Feedback'],"['Chorus', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,589,Future Bass Pluck Synth,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Width']","['Driver', 'Flanger', 'Phaser', 'Screamer']",False,324,Cyber R&B,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Compressor', 'Delay', 'Flanger', 'Phaser', 'Screamer']",False,394,Italian Disco,False,Wav2Vec,True,0.05
5,[],[],True,['FlangerOn.Depth'],"['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,817,Folk Metal Acoustic Fury,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Driver', 'Phaser', 'Screamer']",False,610,Drum and Bass Neon,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Driver', 'Phaser', 'Screamer']",False,93,Darkwave Synth,False,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,455,Philharmonic Rock,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Frequency', 'FlangerOn.Width']","['Chorus', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,294,Barbershop Quartet,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Compressor', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,601,Hyperpop Glitch Pulse,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Driver', 'Flanger', 'Phaser', 'Screamer']",False,1009,Dream Pop Dream,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Compressor', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,617,Dubstep Wobble Pulse,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Compressor', 'Delay', 'Driver']",False,818,Folk Metal Acoustic Rage,False,Wav2Vec,True,0.05
5,[],[],True,[],[],True,986,Western Swing Sunrise,False,Wav2Vec,False,0.05
5,[],[],True,"['FlangerOn.Feedback', 'FlangerOn.Frequency']","['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger']",False,208,Retro Electro,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Chorus', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,553,Celtic Folk Sunset,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Driver', 'Flanger', 'Phaser', 'Screamer']",False,944,Modern R&B Philly,True,Wav2Vec,True,0.05
5,[],[],True,[],[],True,834,Smooth Jazz Lead Smoky,False,Wav2Vec,False,0.05
5,[],[],True,['FlangerOn.Width'],"['Driver', 'Flanger', 'Phaser', 'Screamer']",False,340,East Coast Boom Bap,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Width']","['Chorus', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,560,Celtic Folk Heritage,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,1038,Britpop Indie,False,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Feedback', 'FlangerOn.Frequency']","['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser']",False,723,Modular Hybrid Drift,True,Wav2Vec,True,0.05
5,[],[],True,['FlangerOn.Width'],"['Chorus', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,298,Bhangra Fusion,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Flanger', 'Phaser']",False,564,Indian Classical Sitar Tropical,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,308,Chamber Pop,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,111,Epic Orchestral Rock,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Driver', 'Flanger', 'Phaser', 'Screamer']",False,501,Spring Reverb Surf,False,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Frequency']",['Flanger'],False,955,Country Telecaster Dusty,True,Wav2Vec,True,0.05
5,[],[],True,[],[],True,520,Bossa Nova Acoustic Heritage,False,Wav2Vec,False,0.05
5,[],[],True,['FlangerOn.Width'],"['Driver', 'Flanger', 'Phaser', 'Screamer']",False,896,Neo-Soul Rhythm Philly,True,Wav2Vec,True,0.05
5,[],[],True,['FlangerOn.Width'],"['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,327,Deep Dub,True,Wav2Vec,True,0.05
5,[],[],True,"['DelayOn.Mix', 'FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Frequency', 'FlangerOn.Width']","['Chorus', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,1017,Chamber Pop Dream,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Driver', 'Reverb']",False,1084,Rotary Speaker Fast,False,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Frequency', 'FlangerOn.Width', 'PhaserOn.Frequency']","['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,186,Pirate Metal,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback', 'FlangerOn.Frequency', 'FlangerOn.Width']","['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,917,Southern Soul Gospel Gospel,True,Wav2Vec,True,0.05
5,[],[],True,"['FlangerOn.Depth', 'FlangerOn.Feedback']","['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,291,Auto-Tune Pop,True,Wav2Vec,True,0.05
5,[],[],True,['DelayOn.Mix'],"['Chorus', 'Delay']",False,488,Sitar Fusion,True,Wav2Vec,True,0.05
5,[],[],True,[],"['Driver', 'Flanger', 'Phaser', 'Screamer']",False,454,Phased Synth,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Driver', 'Screamer']",False,391,Iranian Classical,False,Wav2Vec,True,0.05
5,[],[],True,[],"['Chorus', 'Compressor', 'Delay', 'Driver', 'Flanger', 'Phaser', 'Screamer']",False,128,Gothic Rock Reverb,False,Wav2Vec,True,0.05
