method,query_idx,query_name,status,coverage,skip_reason,candidate_count,metric_impl,top1_name,top1_norm_l2,top1_acc_at_0_1,top1_recall,top1_cosine,top1_module,pnr_at_1,pnr_at_3,pnr_at_5,topk_names,topk_scores,pnr_at_k
TRR,547,Latin Rock Fusion Sahara,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Latin Jazz Improv,0.054119064039426644,0.9230769230769231,0.875,0.989696153625742,1.0,1,1,1,"[""Latin Jazz Improv"", ""Free Jazz Avantgarde Nocturne"", ""Drum and Bass Cyber"", ""Dubstep Wobble Beat"", ""Afrobeat Guitar Sunset""]","[0.8386571278714111, 0.8277695458327188, 0.8065477336287741, 0.8038740894249925, 0.798070875670823]",1
TRR,649,UK Garage Pulse,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Contemporary Jazz Crescendo,0.20334314807627696,0.7272727272727273,0.5714285714285714,0.8967255775712678,0.8333333333333334,0,0,0,"[""Contemporary Jazz Crescendo"", ""Afrobeat Guitar Moonrise"", ""Power Pop Sparkle"", ""Mathcore Dissonant Wrath"", ""Bossa Nova Acoustic Sahara""]","[0.739262237374237, 0.7254751571191637, 0.7230623061027125, 0.7204527523798822, 0.7060906354807212]",0
TRR,587,Future Bass Pluck Cyber,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Hyperpop Glitch Wave,0.07207327250882792,0.9230769230769231,0.8928571428571429,0.9875952962543002,1.0,1,1,1,"[""Hyperpop Glitch Wave"", ""Contemporary Jazz Velvet"", ""Synth Pop Glimmer"", ""Trap Metal Bass"", ""Nu Metal 7-String Doom""]","[0.7792000157530536, 0.7707631843338694, 0.7663532864163047, 0.7630846320579876, 0.7587138106887961]",1
TRR,836,Smooth Jazz Lead Nocturne,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Lo-Fi Bedroom Pop Sparkle,0.058808445993534825,0.8461538461538461,0.75,0.9876497795669835,1.0,1,1,1,"[""Lo-Fi Bedroom Pop Sparkle"", ""Latin Rock Fusion Tropical"", ""Philadelphia Soul Philly"", ""Indian Classical Sitar Heritage"", ""Free Jazz Avantgarde Velvet""]","[0.8470368317803357, 0.8188399940688601, 0.8108866015737881, 0.8056338981883446, 0.7942186285463222]",1
TRR,46,Telephone EQ,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Reverse Psychedelic,0.609288196981931,0.48717948717948717,0.34615384615384615,0.4265805939181022,1.0,0,0,0,"[""Reverse Psychedelic"", ""Reverse Psychedelic Delay"", ""Reverse Psychedelic - Alt Take"", ""Reverse Psychedelic - Studio Mix"", ""Reverse Psychedelic - Session Pass""]","[0.992834767187732, 0.992834767187732, 0.992834767187732, 0.992834767187732, 0.992834767187732]",0
TRR,224,Skweee Synth,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Indie Folk Fingerstyle,0.25355629663059265,0.6833333333333333,0.5,0.7755079581041741,0.3333333333333333,0,1,1,"[""Indie Folk Fingerstyle"", ""Impressionist Piano"", ""Stadium Anthem"", ""Neofolk Acoustic"", ""Tango Dramatic""]","[0.8069588229741899, 0.7953107060949686, 0.7822479858579172, 0.7795331004970097, 0.7644166448588717]",1
TRR,714,Overtone Drone Echo,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Contemporary Jazz Vibe,0.35534980329059496,0.5961538461538461,0.4642857142857143,0.6559961955029906,0.5714285714285714,0,1,1,"[""Contemporary Jazz Vibe"", ""Dark Ambient Drone Static"", ""Reverse Ambient Flux"", ""Dark Ambient Drone Glitch"", ""Mathcore Dissonant Venom""]","[0.8754640591663296, 0.8097609166195513, 0.795131369796954, 0.7766271075103005, 0.7764337986767984]",1
TRR,875,Latin Jazz Velvet,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Acid Jazz Funk Groove,0.06633057543108781,0.8717948717948718,0.7916666666666666,0.987557392720779,1.0,1,1,1,"[""Acid Jazz Funk Groove"", ""Bluegrass Flatpick Twang"", ""Gypsy Jazz Manouche Nocturne"", ""Deathcore Breakdown Chaos"", ""K-Pop Shimmer Voyage""]","[0.8555419299821991, 0.8403020949295744, 0.7686120355102901, 0.7609393926372283, 0.7545035950566399]",1
TRR,149,J-Rock Power,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Space Ambient,0.23896019472138974,0.6222222222222222,0.5588235294117647,0.8728677489353112,0.8888888888888888,0,1,1,"[""Space Ambient"", ""Phonk Memphis"", ""Piano Ballad"", ""Russian Synthpop"", ""Scottish Bagpipe Rock""]","[0.8171982589652017, 0.7882761826100677, 0.78199111962002, 0.7781861856247629, 0.7763584440390274]",1
TRR,801,Funeral Doom Fury,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,K-Pop Shimmer Mystic,0.268174509644026,0.7592592592592593,0.75,0.7375289073935059,0.3333333333333333,0,0,1,"[""K-Pop Shimmer Mystic"", ""Britpop Shimmer"", ""Drum and Bass Beat"", ""Power Metal Epic Rage"", ""Power Metal Epic Mayhem""]","[0.8999813088454909, 0.8935529679822819, 0.8594730786068678, 0.8558017857833059, 0.8548805743803134]",1
TRR,103,Drone Metal,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Paisley Underground,0.23714427790293988,0.6,0.5483870967741935,0.8744829218932636,0.8888888888888888,0,1,1,"[""Paisley Underground"", ""Ocean Waves Ambient"", ""Bubblegum Pop"", ""Technical Death Metal"", ""Icelandic Ambient""]","[0.8166652587131795, 0.7614228216512098, 0.7559003222148265, 0.7508399662723344, 0.7339108087468426]",1
TRR,63,Art Rock Theatrical,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Psychedelic Folk,0.24197486021725279,0.631578947368421,0.4444444444444444,0.7892203073172864,0.4444444444444444,0,1,1,"[""Psychedelic Folk"", ""Creole Zydeco"", ""Motorcycle Rock"", ""Appalachian Folk"", ""Ragtime Piano""]","[0.7998343750476095, 0.7934917288712491, 0.7856352623991754, 0.7844348609704581, 0.7787920006593294]",1
TRR,835,Smooth Jazz Lead Velvet,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Middle Eastern Sahara,0.0,1.0,1.0,0.9999999999999999,1.0,1,1,1,"[""Middle Eastern Sahara"", ""Middle Eastern Tropical"", ""Deep House Cyber"", ""Lo-Fi Bedroom Pop Dream"", ""Bluegrass Flatpick Twang""]","[0.7812014275896365, 0.7601077156690946, 0.7137337734652367, 0.6948486681417442, 0.685103141316209]",1
TRR,436,Nostalgic VHS,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Cosmic Jazz,0.29102863775873816,0.5833333333333334,0.3142857142857143,0.7303179385405186,0.3333333333333333,0,1,1,"[""Cosmic Jazz"", ""Roots Reggae"", ""Q-pop Middle Eastern"", ""Delta Blues Raw"", ""Nightcore Speed""]","[0.7592001306792615, 0.7288715658113625, 0.7252447068902041, 0.7057659190021737, 0.7004367443426582]",1
TRR,1008,Indie Pop Jangle Hazy,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Drum and Bass Beat,0.2039311058528326,0.7045454545454546,0.6666666666666666,0.8959826201605078,0.8333333333333334,0,0,0,"[""Drum and Bass Beat"", ""Power Metal Epic Rage"", ""Power Metal Epic Mayhem"", ""Trap Metal Neon"", ""Technical Thrash Mayhem""]","[0.9310751662160579, 0.9256639991381941, 0.9125904088527599, 0.9031804843436296, 0.9025068592921158]",0
TRR,174,Nu-Disco Groove,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Multicultural Fusion,0.07127989527132353,0.8205128205128205,0.7941176470588235,0.9875834421266069,1.0,1,1,1,"[""Multicultural Fusion"", ""Dancy Synthpop"", ""Country Twang"", ""Macedonian Brass"", ""Merseybeat Jangle""]","[0.8101108115404863, 0.7950574355836597, 0.7928235819202716, 0.7789511360362704, 0.7709763695410923]",1
TRR,813,Technical Thrash Wrath,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Funeral Doom Wrath,0.0,1.0,1.0,0.9999999999999999,1.0,1,1,1,"[""Funeral Doom Wrath"", ""Nu Metal 7-String Doom"", ""Technical Thrash Doom"", ""Technical Thrash Rage"", ""Techno Industrial Bass""]","[0.8958904775317122, 0.8935471438832082, 0.8676883167185312, 0.8622056319295566, 0.861831343599653]",1
TRR,380,Honky Tonk Tears,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Desert Blues,0.11702936711086571,0.717948717948718,0.6764705882352942,0.976356914743191,1.0,0,1,1,"[""Desert Blues"", ""Dark Cabaret"", ""Neo-Soul Keys"", ""Chromatic Jazz"", ""C86 Indie""]","[0.726203626063075, 0.7119663543329746, 0.7039335584667279, 0.700439022672887, 0.6979925447604546]",1
TRR,225,Slacker Rock,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Otaku Pop,0.10979020336568915,0.7948717948717948,0.7647058823529411,0.9729520245842818,1.0,0,0,0,"[""Otaku Pop"", ""Cosmic Disco"", ""Scandinavian Black Metal"", ""Teen Pop Bubble"", ""Russian Synthpop""]","[0.8054420935696376, 0.7898468469855745, 0.7875330984894913, 0.7773903486824472, 0.772084531569253]",0
TRR,960,Country Telecaster Frontier,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Sludge Metal Rage,0.26168396372412883,0.7777777777777778,0.64,0.7374865200432906,0.3333333333333333,0,1,1,"[""Sludge Metal Rage"", ""Free Jazz Avantgarde Nocturne"", ""Raw Black Metal Wrath"", ""Mathcore Dissonant Onslaught"", ""Contemporary Jazz Smoky""]","[0.8871602296200197, 0.8822993449610352, 0.8806056634267279, 0.8683543538241641, 0.8645961856423994]",1
TRR,119,Footwork Jungle,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Gypsy Jazz,0.2885042859355466,0.5833333333333334,0.3142857142857143,0.7320441628687044,0.3333333333333333,0,1,1,"[""Gypsy Jazz"", ""VHS Glitch"", ""Synthwave Sunset"", ""Epic Choral"", ""Electroclash""]","[0.8790209309578498, 0.8504100782488693, 0.8457396020500145, 0.797610336847874, 0.7952192663707947]",1
TRR,277,Yacht Rock Smooth,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,New Wave Clean,0.005090060701869666,1.0,1.0,0.9998881907148089,1.0,1,1,1,"[""New Wave Clean"", ""Gritty Synth"", ""Piano Ballad"", ""Grime UK"", ""Seapunk Aquatic""]","[0.8278462816925642, 0.7901399573029562, 0.7801696451151425, 0.7615930528810639, 0.7580758135105385]",1
TRR,749,Sludge Metal Wrath,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Sludge Metal Onslaught,0.04779078899577405,0.9230769230769231,0.8333333333333334,0.993083233664264,1.0,1,1,1,"[""Sludge Metal Onslaught"", ""Hardstyle Psychedelic Beat"", ""Raw Black Metal Fury"", ""Techno Industrial Neon"", ""Hardstyle Psychedelic Cyber""]","[0.831037053371124, 0.830221098505176, 0.8277498351749218, 0.8269694007680479, 0.8241291238376602]",1
TRR,16,Midwest Emo,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Tremolo Surf,0.18240756898738056,0.7333333333333333,0.5909090909090909,0.8538851113410815,0.3333333333333333,0,0,0,"[""Tremolo Surf"", ""Dreamy Shoegaze"", ""Dreamy Shoegaze Ethereal"", ""Dreamy Shoegaze - Ethereal Wash Mix"", ""Dreamy Shoegaze - Cloud Reverb Pass""]","[0.9822532377671206, 0.9329863653942134, 0.9329863653942134, 0.9329863653942134, 0.9329863653942134]",0
TRR,1070,Midwest Emo Twinkled,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Tremolo Surf,0.1990193222840814,0.7111111111111111,0.5652173913043478,0.8324784873178281,0.3333333333333333,0,0,0,"[""Tremolo Surf"", ""Dreamy Shoegaze"", ""Dreamy Shoegaze Ethereal"", ""Dreamy Shoegaze - Ethereal Wash Mix"", ""Dreamy Shoegaze - Cloud Reverb Pass""]","[0.9822532377671206, 0.9329863653942134, 0.9329863653942134, 0.9329863653942134, 0.9329863653942134]",0
TRR,1114,Midwest Emo - Warm Room Take,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Tremolo Surf,0.18240756898738056,0.7333333333333333,0.5909090909090909,0.8538851113410815,0.3333333333333333,0,0,0,"[""Tremolo Surf"", ""Dreamy Shoegaze"", ""Dreamy Shoegaze Ethereal"", ""Dreamy Shoegaze - Ethereal Wash Mix"", ""Dreamy Shoegaze - Cloud Reverb Pass""]","[0.9822532377671206, 0.9329863653942134, 0.9329863653942134, 0.9329863653942134, 0.9329863653942134]",0
TRR,1144,Midwest Emo - Open Chord Mix,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Tremolo Surf,0.18240756898738056,0.7333333333333333,0.5909090909090909,0.8538851113410815,0.3333333333333333,0,0,0,"[""Tremolo Surf"", ""Dreamy Shoegaze"", ""Dreamy Shoegaze Ethereal"", ""Dreamy Shoegaze - Ethereal Wash Mix"", ""Dreamy Shoegaze - Cloud Reverb Pass""]","[0.9822532377671206, 0.9329863653942134, 0.9329863653942134, 0.9329863653942134, 0.9329863653942134]",0
TRR,1174,Midwest Emo - Glass Tone Pass,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Tremolo Surf,0.18240756898738056,0.7333333333333333,0.5909090909090909,0.8538851113410815,0.3333333333333333,0,0,0,"[""Tremolo Surf"", ""Dreamy Shoegaze"", ""Dreamy Shoegaze Ethereal"", ""Dreamy Shoegaze - Ethereal Wash Mix"", ""Dreamy Shoegaze - Cloud Reverb Pass""]","[0.9822532377671206, 0.9329863653942134, 0.9329863653942134, 0.9329863653942134, 0.9329863653942134]",0
TRR,1204,Midwest Emo - Natural Body Edit,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Tremolo Surf,0.18240756898738056,0.7333333333333333,0.5909090909090909,0.8538851113410815,0.3333333333333333,0,0,0,"[""Tremolo Surf"", ""Dreamy Shoegaze"", ""Dreamy Shoegaze Ethereal"", ""Dreamy Shoegaze - Ethereal Wash Mix"", ""Dreamy Shoegaze - Cloud Reverb Pass""]","[0.9822532377671206, 0.9329863653942134, 0.9329863653942134, 0.9329863653942134, 0.9329863653942134]",0
TRR,1234,Midwest Emo - Bright Air Version,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Tremolo Surf,0.18240756898738056,0.7333333333333333,0.5909090909090909,0.8538851113410815,0.3333333333333333,0,0,0,"[""Tremolo Surf"", ""Dreamy Shoegaze"", ""Dreamy Shoegaze Ethereal"", ""Dreamy Shoegaze - Ethereal Wash Mix"", ""Dreamy Shoegaze - Cloud Reverb Pass""]","[0.9822532377671206, 0.9329863653942134, 0.9329863653942134, 0.9329863653942134, 0.9329863653942134]",0
TRR,1264,Midwest Emo - Round Note Cut,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Tremolo Surf,0.18240756898738056,0.7333333333333333,0.5909090909090909,0.8538851113410815,0.3333333333333333,0,0,0,"[""Tremolo Surf"", ""Dreamy Shoegaze"", ""Dreamy Shoegaze Ethereal"", ""Dreamy Shoegaze - Ethereal Wash Mix"", ""Dreamy Shoegaze - Cloud Reverb Pass""]","[0.9822532377671206, 0.9329863653942134, 0.9329863653942134, 0.9329863653942134, 0.9329863653942134]",0
TRR,248,Talk Box Funk,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Schlager Pop,0.25398745057570915,0.65,0.7272727272727273,0.7751607931888954,0.3333333333333333,0,1,1,"[""Schlager Pop"", ""Electro Swing"", ""Jazz Fusion Complex"", ""Dungeon Core"", ""G-funk Synth""]","[0.7798134058814915, 0.7796640793881222, 0.7490354508906362, 0.7418700505412157, 0.734087920202336]",1
TRR,1054,Lo-Fi Bedroom Pop Indie,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Neo-Soul Rhythm Motown,0.05552035665692328,0.8717948717948718,0.7916666666666666,0.9912550362678914,1.0,1,1,1,"[""Neo-Soul Rhythm Motown"", ""Philadelphia Soul Philly"", ""Microtonal Fusion Void"", ""Lo-Fi Bedroom Pop Sparkle"", ""Hyperpop Glitch Bass""]","[0.8110746443475716, 0.7852965584118763, 0.7849953615331471, 0.7846312846456396, 0.7841061544396313]",1
TRR,865,Free Jazz Avantgarde Blue,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Contemporary Jazz Nocturne,0.07620329789420995,0.7948717948717948,0.6666666666666666,0.9832355289514088,1.0,1,1,1,"[""Contemporary Jazz Nocturne"", ""Contemporary Jazz Blue"", ""Contemporary Jazz Velvet"", ""Cool Jazz Vibe"", ""Afrobeat Guitar Sunset""]","[0.8443989905381988, 0.8412643805680922, 0.8322944815099316, 0.824230820632692, 0.8239883239727761]",1
TRR,343,Emo Piano,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Desert Rock Fuzz,0.01105810214860207,1.0,1.0,0.999704764837088,1.0,1,1,1,"[""Desert Rock Fuzz"", ""Space Rock Delay"", ""New Wave Clean"", ""Gritty Synth"", ""Grime UK""]","[0.8656005776500914, 0.8458674606408193, 0.8036877877733289, 0.7779427076771095, 0.7730295460451317]",1
TRR,645,Deep House Synth,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Celtic Folk Moonrise,0.20072604368888877,0.7045454545454546,0.5357142857142857,0.8962929709191143,0.8333333333333334,0,0,0,"[""Celtic Folk Moonrise"", ""Indian Classical Sitar Moonrise"", ""K-Pop Shimmer Heritage"", ""Indian Classical Sitar Heritage"", ""Power Pop Sparkle""]","[0.8329239405202562, 0.8281126798135281, 0.8253896995179129, 0.8228068853205674, 0.8225665925286402]",0
TRR,999,Americana Alt Outlaw,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Western Swing Pickin,0.06737633867301465,0.8717948717948718,0.7916666666666666,0.9856361658738982,1.0,1,1,1,"[""Western Swing Pickin"", ""Motown Soul Memphis"", ""Latin Rock Fusion Heritage"", ""Memphis Soul Groove"", ""K-Pop Shimmer Sahara""]","[0.8260857969327782, 0.8182382713555499, 0.801376411959748, 0.7595258965475593, 0.743284134651921]",1
TRR,498,Spanish Guitar,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Chillstep Ambient,0.05907218484275022,0.9285714285714286,0.8636363636363636,0.9841250201109486,0.75,1,1,1,"[""Chillstep Ambient"", ""Spanish Flamenco"", ""Neofolk Acoustic"", ""Kalimba Melody"", ""Nordic Noir""]","[0.7695445005897699, 0.7600626564664947, 0.752493832933787, 0.7513929132427093, 0.7397421301802982]",1
TRR,118,Flamenco Fusion,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Congolese Rumba,0.2443025302374547,0.631578947368421,0.4444444444444444,0.7870177208657689,0.4444444444444444,0,0,0,"[""Congolese Rumba"", ""Somali Hip Hop"", ""Reggae Dubplate"", ""German Schlager"", ""City Pop Smooth""]","[0.7889077952197538, 0.7664731035935848, 0.7615287920941156, 0.7432569414823449, 0.7386647218452622]",0
TRR,983,Country Rock Twang Outlaw,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Synth Pop Glimmer,0.058785273272340094,0.8717948717948718,0.7916666666666666,0.9903490927170565,1.0,1,1,1,"[""Synth Pop Glimmer"", ""Latin Rock Fusion Tropical"", ""Dream Pop Sparkle"", ""Latin Rock Fusion Sunset"", ""Chamber Pop Hazy""]","[0.8574052890036581, 0.8430516344310324, 0.8429481000998155, 0.8334064119072656, 0.8252720302896128]",1
TRR,332,Dirty South Trap,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,West Coast Hip Hop,0.01877842409551587,1.0,1.0,0.9993173467715412,1.0,1,1,1,"[""West Coast Hip Hop"", ""Memphis Rap"", ""Sonic Youth Noise"", ""Funky Bassline"", ""Piano House""]","[0.642677986810983, 0.6366381366553727, 0.6119185651355171, 0.6063973339282653, 0.58463929134607]",1
TRR,84,Cloud Rap Ethereal,ok,1.0,,5,legacy_evaluator_for_protocolA_compat,Floating Synth,0.010541492509861188,1.0,1.0,0.9997828722495185,1.0,1,1,1,"[""Floating Synth"", ""Lush Reverb Pad"", ""Arpeggiated Synth"", ""Nashville Sound"", ""Snowy Ambient""]","[0.777650602258756, 0.770772113790053, 0.7651052172952523, 0.7572310931379338, 0.7517146462824497]",1
