protocol,scenario,query_idx,query_name,query_text,method,retrieved_name,w_text,w_audio,u_text_norm,u_audio_norm,l2,acc@0.1,recall,cosine,module
Protocol-C,standard,4,Ambient Swells,Ambient Swells ambient ambient_swells guitar_tone audio_agent_preset,TRR-only,Ambient Swells Ethereal,1.00000000,0.00000000,0.01078292,0.99999932,0.10533465,0.80952381,0.70000000,0.97435720,1.00000000
Protocol-C,standard,4,Ambient Swells,Ambient Swells ambient ambient_swells guitar_tone audio_agent_preset,Fusion,Ambient Swells Ethereal,1.00000000,0.00000000,0.01078292,0.99999932,0.10533465,0.80952381,0.70000000,0.97435720,1.00000000
Protocol-C,standard,6,Jazz Box,Jazz Box clean_warm jazz_box guitar_tone audio_agent_preset,Text-only,Jazz Hollowbody Warm,0.00000000,1.00000000,0.29850644,0.99984431,0.56558536,0.28571429,0.10000000,0.34886993,1.00000000
Protocol-C,standard,6,Jazz Box,Jazz Box clean_warm jazz_box guitar_tone audio_agent_preset,TRR-only,Jazz Hollowbody Warm,0.00000000,1.00000000,0.29850644,0.99984431,0.56558536,0.28571429,0.10000000,0.34886993,1.00000000
Protocol-C,standard,6,Jazz Box,Jazz Box clean_warm jazz_box guitar_tone audio_agent_preset,Fusion,Jazz Hollowbody Warm,0.00000000,1.00000000,0.29850644,0.99984431,0.56558536,0.28571429,0.10000000,0.34886993,1.00000000
Protocol-C,standard,7,Acoustic Sim,Acoustic Sim clean acoustic_sim guitar_tone audio_agent_preset,Text-only,Acoustic Sim Natural,1.00000000,0.00000000,0.00015941,0.99131997,0.35945096,0.61904762,0.63636364,0.87958952,1.00000000
Protocol-C,standard,7,Acoustic Sim,Acoustic Sim clean acoustic_sim guitar_tone audio_agent_preset,TRR-only,Acoustic Sim Natural,1.00000000,0.00000000,0.00015941,0.99131997,0.35945096,0.61904762,0.63636364,0.87958952,1.00000000
Protocol-C,standard,7,Acoustic Sim,Acoustic Sim clean acoustic_sim guitar_tone audio_agent_preset,Fusion,Acoustic Sim Natural,1.00000000,0.00000000,0.00015941,0.99131997,0.35945096,0.61904762,0.63636364,0.87958952,1.00000000
Protocol-C,standard,8,Lo-Fi Hip Hop,Lo-Fi Hip Hop lofi lo-fi_hip_hop guitar_tone audio_agent_preset,Text-only,Lo-Fi Hip Hop Chill,0.00000000,1.00000000,0.00011047,0.99995570,0.04830851,0.95238095,1.00000000,0.98544328,1.00000000
Protocol-C,standard,8,Lo-Fi Hip Hop,Lo-Fi Hip Hop lofi lo-fi_hip_hop guitar_tone audio_agent_preset,TRR-only,Lo-Fi Hip Hop Chill,0.00000000,1.00000000,0.00011047,0.99995570,0.04830851,0.95238095,1.00000000,0.98544328,1.00000000
Protocol-C,standard,8,Lo-Fi Hip Hop,Lo-Fi Hip Hop lofi lo-fi_hip_hop guitar_tone audio_agent_preset,Fusion,Lo-Fi Hip Hop Chill,0.00000000,1.00000000,0.00011047,0.99995570,0.04830851,0.95238095,1.00000000,0.98544328,1.00000000
Protocol-C,standard,9,Math Rock Crystal,Math Rock Crystal clean_comp math_rock_crystal guitar_tone audio_agent_preset,Text-only,Math Rock Crystal Cleans,1.00000000,0.00000000,0.00000000,0.99916457,0.19446052,0.56521739,0.45454545,0.89454969,1.00000000
Protocol-C,standard,9,Math Rock Crystal,Math Rock Crystal clean_comp math_rock_crystal guitar_tone audio_agent_preset,TRR-only,Math Rock Crystal Cleans,1.00000000,0.00000000,0.00000000,0.99916457,0.19446052,0.56521739,0.45454545,0.89454969,1.00000000
Protocol-C,standard,9,Math Rock Crystal,Math Rock Crystal clean_comp math_rock_crystal guitar_tone audio_agent_preset,Fusion,Math Rock Crystal Cleans,1.00000000,0.00000000,0.00000000,0.99916457,0.19446052,0.56521739,0.45454545,0.89454969,1.00000000
Protocol-C,standard,11,Tweed Breakup,Tweed Breakup blues tweed_breakup guitar_tone audio_agent_preset,Text-only,Vintage Tweed Breakup,1.00000000,0.00000000,0.00001871,0.99999689,0.49352954,0.84615385,0.75000000,0.52378764,1.00000000
Protocol-C,standard,11,Tweed Breakup,Tweed Breakup blues tweed_breakup guitar_tone audio_agent_preset,TRR-only,Vintage Tweed Breakup,1.00000000,0.00000000,0.00001871,0.99999689,0.49352954,0.84615385,0.75000000,0.52378764,1.00000000
Protocol-C,standard,11,Tweed Breakup,Tweed Breakup blues tweed_breakup guitar_tone audio_agent_preset,Fusion,Vintage Tweed Breakup,1.00000000,0.00000000,0.00001871,0.99999689,0.49352954,0.84615385,0.75000000,0.52378764,1.00000000
Protocol-C,standard,12,British Invasion,British Invasion crunch british_invasion guitar_tone audio_agent_preset,Text-only,British Invasion Classic,1.00000000,0.00000000,0.00001405,0.99984380,0.54917678,0.28571429,0.27272727,0.39889934,1.00000000
Protocol-C,standard,12,British Invasion,British Invasion crunch british_invasion guitar_tone audio_agent_preset,TRR-only,British Invasion Classic,1.00000000,0.00000000,0.00001405,0.99984380,0.54917678,0.28571429,0.27272727,0.39889934,1.00000000
Protocol-C,standard,12,British Invasion,British Invasion crunch british_invasion guitar_tone audio_agent_preset,Fusion,British Invasion Classic,1.00000000,0.00000000,0.00001405,0.99984380,0.54917678,0.28571429,0.27272727,0.39889934,1.00000000
Protocol-C,standard,15,Indie Jangle,Indie Jangle crunch indie_jangle guitar_tone audio_agent_preset,Text-only,Indie Jangle Bright,1.00000000,0.00000000,0.00064978,0.99603963,0.73137370,0.09523810,0.12500000,0.35767406,1.00000000
Protocol-C,standard,15,Indie Jangle,Indie Jangle crunch indie_jangle guitar_tone audio_agent_preset,TRR-only,Indie Jangle Bright,1.00000000,0.00000000,0.00064978,0.99603963,0.73137370,0.09523810,0.12500000,0.35767406,1.00000000
Protocol-C,standard,15,Indie Jangle,Indie Jangle crunch indie_jangle guitar_tone audio_agent_preset,Fusion,Indie Jangle Bright,1.00000000,0.00000000,0.00064978,0.99603963,0.73137370,0.09523810,0.12500000,0.35767406,1.00000000
Protocol-C,standard,16,Midwest Emo,Midwest Emo crunch_bright midwest_emo guitar_tone audio_agent_preset,Text-only,Midwest Emo Twinkled,1.00000000,0.00000000,0.00000898,0.99930889,0.04850735,0.92307692,0.83333333,0.98997799,1.00000000
Protocol-C,standard,16,Midwest Emo,Midwest Emo crunch_bright midwest_emo guitar_tone audio_agent_preset,TRR-only,Midwest Emo Twinkled,1.00000000,0.00000000,0.00000898,0.99930889,0.04850735,0.92307692,0.83333333,0.98997799,1.00000000
Protocol-C,standard,16,Midwest Emo,Midwest Emo crunch_bright midwest_emo guitar_tone audio_agent_preset,Fusion,Midwest Emo Twinkled,1.00000000,0.00000000,0.00000898,0.99930889,0.04850735,0.92307692,0.83333333,0.98997799,1.00000000
Protocol-C,standard,19,Dry Funk,Dry Funk clean_funk dry_funk guitar_tone audio_agent_preset,Text-only,Spanky Funk,0.00000000,1.00000000,0.10471425,0.99201470,0.62408227,0.37142857,0.15384615,0.28554488,0.33333333
Protocol-C,standard,19,Dry Funk,Dry Funk clean_funk dry_funk guitar_tone audio_agent_preset,TRR-only,Dry Funk Rhythm,0.00000000,1.00000000,0.10471425,0.99201470,0.47814839,0.73913043,0.84615385,0.78844361,0.83333333
Protocol-C,standard,19,Dry Funk,Dry Funk clean_funk dry_funk guitar_tone audio_agent_preset,Fusion,Dry Funk Rhythm,0.00000000,1.00000000,0.10471425,0.99201470,0.47814839,0.73913043,0.84615385,0.78844361,0.83333333
Protocol-C,standard,20,Classic Plexi,Classic Plexi rock classic_plexi guitar_tone audio_agent_preset plexi_classic_hot,Text-only,Plexi Classic Hot,0.50000000,0.50000000,0.00000013,0.99467186,0.46743230,0.82608696,0.91666667,0.99998026,1.00000000
Protocol-C,standard,20,Classic Plexi,Classic Plexi rock classic_plexi guitar_tone audio_agent_preset plexi_classic_hot,TRR-only,Plexi Classic Hot,0.50000000,0.50000000,0.00000013,0.99467186,0.46743230,0.82608696,0.91666667,0.99998026,1.00000000
Protocol-C,standard,20,Classic Plexi,Classic Plexi rock classic_plexi guitar_tone audio_agent_preset plexi_classic_hot,Fusion,Plexi Classic Hot,0.50000000,0.50000000,0.00000013,0.99467186,0.46743230,0.82608696,0.91666667,0.99998026,1.00000000
Protocol-C,standard,21,Brown Sound,Brown Sound rock_high brown_sound guitar_tone audio_agent_preset,Text-only,Brown Sound Modern,0.00000000,1.00000000,0.00359494,0.99999275,0.10533554,0.82608696,0.91666667,0.99999890,1.00000000
Protocol-C,standard,21,Brown Sound,Brown Sound rock_high brown_sound guitar_tone audio_agent_preset,TRR-only,Brown Sound Modern,0.00000000,1.00000000,0.00359494,0.99999275,0.10533554,0.82608696,0.91666667,0.99999890,1.00000000
Protocol-C,standard,21,Brown Sound,Brown Sound rock_high brown_sound guitar_tone audio_agent_preset,Fusion,Brown Sound Modern,0.00000000,1.00000000,0.00359494,0.99999275,0.10533554,0.82608696,0.91666667,0.99999890,1.00000000
Protocol-C,standard,22,Garage Rock Fuzz,Garage Rock Fuzz fuzz garage_rock_fuzz guitar_tone audio_agent_preset,Text-only,Garage Rock Fuzz Raw,1.00000000,0.00000000,0.00112848,0.99250176,0.06820772,0.86956522,0.80000000,0.98421851,1.00000000
Protocol-C,standard,22,Garage Rock Fuzz,Garage Rock Fuzz fuzz garage_rock_fuzz guitar_tone audio_agent_preset,TRR-only,Garage Rock Fuzz Raw,1.00000000,0.00000000,0.00112848,0.99250176,0.06820772,0.86956522,0.80000000,0.98421851,1.00000000
Protocol-C,standard,22,Garage Rock Fuzz,Garage Rock Fuzz fuzz garage_rock_fuzz guitar_tone audio_agent_preset,Fusion,Garage Rock Fuzz Raw,1.00000000,0.00000000,0.00112848,0.99250176,0.06820772,0.86956522,0.80000000,0.98421851,1.00000000
Protocol-C,standard,24,Grunge Dirt,Grunge Dirt grunge grunge_dirt guitar_tone audio_agent_preset,Text-only,Grunge Dirt Seattle,1.00000000,0.00000000,0.00002734,0.99989370,0.06382145,0.95238095,1.00000000,0.97474763,1.00000000
Protocol-C,standard,24,Grunge Dirt,Grunge Dirt grunge grunge_dirt guitar_tone audio_agent_preset,TRR-only,Grunge Dirt Seattle,1.00000000,0.00000000,0.00002734,0.99989370,0.06382145,0.95238095,1.00000000,0.97474763,1.00000000
Protocol-C,standard,24,Grunge Dirt,Grunge Dirt grunge grunge_dirt guitar_tone audio_agent_preset,Fusion,Grunge Dirt Seattle,1.00000000,0.00000000,0.00002734,0.99989370,0.06382145,0.95238095,1.00000000,0.97474763,1.00000000
Protocol-C,standard,26,Saturated Rhythm,Saturated Rhythm rock_high saturated_rhythm guitar_tone audio_agent_preset,Text-only,Saturated Drive Rhythm,1.00000000,0.00000000,0.00005053,0.99977565,0.60682495,0.88461538,1.00000000,0.99996313,0.75000000
Protocol-C,standard,26,Saturated Rhythm,Saturated Rhythm rock_high saturated_rhythm guitar_tone audio_agent_preset,TRR-only,Saturated Drive Rhythm,1.00000000,0.00000000,0.00005053,0.99977565,0.60682495,0.88461538,1.00000000,0.99996313,0.75000000
Protocol-C,standard,26,Saturated Rhythm,Saturated Rhythm rock_high saturated_rhythm guitar_tone audio_agent_preset,Fusion,Saturated Drive Rhythm,1.00000000,0.00000000,0.00005053,0.99977565,0.60682495,0.88461538,1.00000000,0.99996313,0.75000000
Protocol-C,standard,28,Hard Rock Crunch,Hard Rock Crunch rock hard_rock_crunch guitar_tone audio_agent_preset,Text-only,Southern Rock,1.00000000,0.00000000,0.16271840,0.99831800,0.41496570,0.45714286,0.21428571,0.18634139,0.33333333
Protocol-C,standard,28,Hard Rock Crunch,Hard Rock Crunch rock hard_rock_crunch guitar_tone audio_agent_preset,TRR-only,Studio Clean,1.00000000,0.00000000,0.16271840,0.99831800,0.15757856,0.52380952,0.35714286,0.93906199,1.00000000
Protocol-C,standard,28,Hard Rock Crunch,Hard Rock Crunch rock hard_rock_crunch guitar_tone audio_agent_preset,Fusion,Southern Rock,1.00000000,0.00000000,0.16271840,0.99831800,0.41496570,0.45714286,0.21428571,0.18634139,0.33333333
Protocol-C,standard,29,Brian May Style,Brian May Style rock_mid brian_may_style guitar_tone audio_agent_preset,Text-only,Brian May Queen Tone,1.00000000,0.00000000,0.00000002,0.99940191,0.08969767,0.78260870,0.83333333,0.99999920,1.00000000
Protocol-C,standard,29,Brian May Style,Brian May Style rock_mid brian_may_style guitar_tone audio_agent_preset,TRR-only,Brian May Queen Tone,1.00000000,0.00000000,0.00000002,0.99940191,0.08969767,0.78260870,0.83333333,0.99999920,1.00000000
Protocol-C,standard,29,Brian May Style,Brian May Style rock_mid brian_may_style guitar_tone audio_agent_preset,Fusion,Brian May Queen Tone,1.00000000,0.00000000,0.00000002,0.99940191,0.08969767,0.78260870,0.83333333,0.99999920,1.00000000
Protocol-C,standard,30,80s Hair Metal,80s Hair Metal metal_80s 80s_hair_metal guitar_tone audio_agent_preset,Text-only,80s Hair Metal Arena,0.00000000,1.00000000,0.43088897,0.99988897,0.00980581,1.00000000,1.00000000,0.99979610,1.00000000
Protocol-C,standard,30,80s Hair Metal,80s Hair Metal metal_80s 80s_hair_metal guitar_tone audio_agent_preset,TRR-only,80s Hair Metal Arena,0.00000000,1.00000000,0.43088897,0.99988897,0.00980581,1.00000000,1.00000000,0.99979610,1.00000000
Protocol-C,standard,30,80s Hair Metal,80s Hair Metal metal_80s 80s_hair_metal guitar_tone audio_agent_preset,Fusion,80s Hair Metal Arena,0.00000000,1.00000000,0.43088897,0.99988897,0.00980581,1.00000000,1.00000000,0.99979610,1.00000000
Protocol-C,standard,31,Modern Djent,Modern Djent metal_modern modern_djent guitar_tone audio_agent_preset,Text-only,Modern Djent Chug,0.00000000,1.00000000,0.00537339,0.99984270,0.73784445,0.73076923,0.66666667,0.61828703,1.00000000
Protocol-C,standard,31,Modern Djent,Modern Djent metal_modern modern_djent guitar_tone audio_agent_preset,TRR-only,Modern Djent Chug,0.00000000,1.00000000,0.00537339,0.99984270,0.73784445,0.73076923,0.66666667,0.61828703,1.00000000
Protocol-C,standard,31,Modern Djent,Modern Djent metal_modern modern_djent guitar_tone audio_agent_preset,Fusion,Modern Djent Chug,0.00000000,1.00000000,0.00537339,0.99984270,0.73784445,0.73076923,0.66666667,0.61828703,1.00000000
Protocol-C,standard,34,Doom/Stoner Fuzz,Doom/Stoner Fuzz fuzz_doom doom/stoner_fuzz guitar_tone audio_agent_preset,Text-only,DoomStoner Fuzz Heavy,1.00000000,0.00000000,0.00012723,0.99632771,0.58128404,0.34782609,0.12500000,0.36917000,1.00000000
Protocol-C,standard,34,Doom/Stoner Fuzz,Doom/Stoner Fuzz fuzz_doom doom/stoner_fuzz guitar_tone audio_agent_preset,TRR-only,DoomStoner Fuzz Heavy,1.00000000,0.00000000,0.00012723,0.99632771,0.58128404,0.34782609,0.12500000,0.36917000,1.00000000
Protocol-C,standard,34,Doom/Stoner Fuzz,Doom/Stoner Fuzz fuzz_doom doom/stoner_fuzz guitar_tone audio_agent_preset,Fusion,DoomStoner Fuzz Heavy,1.00000000,0.00000000,0.00012723,0.99632771,0.58128404,0.34782609,0.12500000,0.36917000,1.00000000
Protocol-C,standard,36,Industrial Metal,Industrial Metal metal_industrial industrial_metal guitar_tone audio_agent_preset,Text-only,Industrial Metal Aggressive,0.00000000,1.00000000,0.06622449,0.99997429,0.12612540,0.84615385,0.92857143,0.96665055,1.00000000
Protocol-C,standard,36,Industrial Metal,Industrial Metal metal_industrial industrial_metal guitar_tone audio_agent_preset,TRR-only,Industrial Metal Aggressive,0.00000000,1.00000000,0.06622449,0.99997429,0.12612540,0.84615385,0.92857143,0.96665055,1.00000000
Protocol-C,standard,36,Industrial Metal,Industrial Metal metal_industrial industrial_metal guitar_tone audio_agent_preset,Fusion,Industrial Metal Aggressive,0.00000000,1.00000000,0.06622449,0.99997429,0.12612540,0.84615385,0.92857143,0.96665055,1.00000000
Protocol-C,standard,37,Liquid Lead,Liquid Lead lead_prog liquid_lead guitar_tone audio_agent_preset,Text-only,Liquid Lead Smooth,1.00000000,0.00000000,0.00002734,0.99995202,0.39925503,0.78260870,0.84615385,0.99998345,1.00000000
Protocol-C,standard,37,Liquid Lead,Liquid Lead lead_prog liquid_lead guitar_tone audio_agent_preset,TRR-only,Liquid Lead Smooth,1.00000000,0.00000000,0.00002734,0.99995202,0.39925503,0.78260870,0.84615385,0.99998345,1.00000000
Protocol-C,standard,37,Liquid Lead,Liquid Lead lead_prog liquid_lead guitar_tone audio_agent_preset,Fusion,Liquid Lead Smooth,1.00000000,0.00000000,0.00002734,0.99995202,0.39925503,0.78260870,0.84615385,0.99998345,1.00000000
Protocol-C,standard,38,Black Metal Lo-Fi,Black Metal Lo-Fi metal_black black_metal_lo-fi guitar_tone audio_agent_preset,Text-only,Black Metal LoFi Raw,0.00000000,1.00000000,0.00072239,0.99885175,0.11601817,0.84615385,0.78571429,0.97151633,1.00000000
Protocol-C,standard,38,Black Metal Lo-Fi,Black Metal Lo-Fi metal_black black_metal_lo-fi guitar_tone audio_agent_preset,TRR-only,Black Metal LoFi Raw,0.00000000,1.00000000,0.00072239,0.99885175,0.11601817,0.84615385,0.78571429,0.97151633,1.00000000
Protocol-C,standard,38,Black Metal Lo-Fi,Black Metal Lo-Fi metal_black black_metal_lo-fi guitar_tone audio_agent_preset,Fusion,Black Metal LoFi Raw,0.00000000,1.00000000,0.00072239,0.99885175,0.11601817,0.84615385,0.78571429,0.97151633,1.00000000
Protocol-C,standard,40,Bitcrushed Synth,Bitcrushed Synth fx_weird bitcrushed_synth guitar_tone audio_agent_preset,Text-only,Rotary Speaker,0.00000000,1.00000000,1.00000000,0.99915333,0.02879018,1.00000000,1.00000000,0.99494658,1.00000000
Protocol-C,standard,40,Bitcrushed Synth,Bitcrushed Synth fx_weird bitcrushed_synth guitar_tone audio_agent_preset,TRR-only,Underwater,0.00000000,1.00000000,1.00000000,0.99915333,0.02076850,1.00000000,1.00000000,0.99739852,1.00000000
Protocol-C,standard,40,Bitcrushed Synth,Bitcrushed Synth fx_weird bitcrushed_synth guitar_tone audio_agent_preset,Fusion,Underwater,0.00000000,1.00000000,1.00000000,0.99915333,0.02076850,1.00000000,1.00000000,0.99739852,1.00000000
Protocol-C,standard,44,Infinite Sustain,Infinite Sustain ambient_lead infinite_sustain guitar_tone audio_agent_preset,Text-only,Infinite Sustain Lead,1.00000000,0.00000000,0.00000032,0.99982488,0.81009711,0.86956522,0.76923077,0.99994168,1.00000000
Protocol-C,standard,44,Infinite Sustain,Infinite Sustain ambient_lead infinite_sustain guitar_tone audio_agent_preset,TRR-only,Infinite Sustain Lead,1.00000000,0.00000000,0.00000032,0.99982488,0.81009711,0.86956522,0.76923077,0.99994168,1.00000000
Protocol-C,standard,44,Infinite Sustain,Infinite Sustain ambient_lead infinite_sustain guitar_tone audio_agent_preset,Fusion,Infinite Sustain Lead,1.00000000,0.00000000,0.00000032,0.99982488,0.81009711,0.86956522,0.76923077,0.99994168,1.00000000
Protocol-C,standard,45,Reverse Psychedelic,Reverse Psychedelic fx_reverse reverse_psychedelic guitar_tone audio_agent_preset,Text-only,Reverse Psychedelic Delay,1.00000000,0.00000000,0.00047192,0.99956215,0.27890532,0.65517241,0.50000000,0.50848434,0.33333333
Protocol-C,standard,45,Reverse Psychedelic,Reverse Psychedelic fx_reverse reverse_psychedelic guitar_tone audio_agent_preset,TRR-only,Reverse Psychedelic Delay,1.00000000,0.00000000,0.00047192,0.99956215,0.27890532,0.65517241,0.50000000,0.50848434,0.33333333
Protocol-C,standard,45,Reverse Psychedelic,Reverse Psychedelic fx_reverse reverse_psychedelic guitar_tone audio_agent_preset,Fusion,Reverse Psychedelic Delay,1.00000000,0.00000000,0.00047192,0.99956215,0.27890532,0.65517241,0.50000000,0.50848434,0.33333333
Protocol-C,standard,49,Auto-Wah Funk,Auto-Wah Funk fx_filter auto-wah_funk guitar_tone audio_agent_preset,Text-only,Auto-Wah Funk Rhythm,0.00000000,1.00000000,0.43067664,0.99999836,0.06757801,0.85714286,0.76470588,0.99253975,1.00000000
Protocol-C,standard,49,Auto-Wah Funk,Auto-Wah Funk fx_filter auto-wah_funk guitar_tone audio_agent_preset,TRR-only,Auto-Wah Funk Rhythm,0.00000000,1.00000000,0.43067664,0.99999836,0.06757801,0.85714286,0.76470588,0.99253975,1.00000000
Protocol-C,standard,49,Auto-Wah Funk,Auto-Wah Funk fx_filter auto-wah_funk guitar_tone audio_agent_preset,Fusion,Auto-Wah Funk Rhythm,0.00000000,1.00000000,0.43067664,0.99999836,0.06757801,0.85714286,0.76470588,0.99253975,1.00000000
Protocol-C,standard,1080,Hard Rock Crunch,Hard Rock Crunch rock guitar_tone audio_agent_preset hard_rock_crunch,Text-only,Southern Rock,1.00000000,0.00000000,0.16271840,0.99831800,0.41149159,0.40000000,0.13333333,0.18293966,0.33333333
Protocol-C,standard,1080,Hard Rock Crunch,Hard Rock Crunch rock guitar_tone audio_agent_preset hard_rock_crunch,TRR-only,Studio Clean,1.00000000,0.00000000,0.16271840,0.99831800,0.17774856,0.33333333,0.13333333,0.92109681,1.00000000
Protocol-C,standard,1080,Hard Rock Crunch,Hard Rock Crunch rock guitar_tone audio_agent_preset hard_rock_crunch,Fusion,Southern Rock,1.00000000,0.00000000,0.16271840,0.99831800,0.41149159,0.40000000,0.13333333,0.18293966,0.33333333
Protocol-C,standard,1087,Dry Funk - Pocket Groove Cut,Dry Funk - Pocket Groove Cut clean_funk dry_funk guitar_tone audio_agent_preset,Text-only,Spanky Funk,0.00000000,1.00000000,0.10471425,0.99201470,0.62408227,0.37142857,0.15384615,0.28554488,0.33333333
Protocol-C,standard,1087,Dry Funk - Pocket Groove Cut,Dry Funk - Pocket Groove Cut clean_funk dry_funk guitar_tone audio_agent_preset,TRR-only,Dry Funk Rhythm,0.00000000,1.00000000,0.10471425,0.99201470,0.47814839,0.73913043,0.84615385,0.78844361,0.83333333
Protocol-C,standard,1087,Dry Funk - Pocket Groove Cut,Dry Funk - Pocket Groove Cut clean_funk dry_funk guitar_tone audio_agent_preset,Fusion,Dry Funk Rhythm,0.00000000,1.00000000,0.10471425,0.99201470,0.47814839,0.73913043,0.84615385,0.78844361,0.83333333
Protocol-C,standard,1088,Tweed Breakup - Vintage Drive Mix,Tweed Breakup - Vintage Drive Mix blues tweed_breakup guitar_tone audio_agent_preset,Text-only,Vintage Tweed Breakup,1.00000000,0.00000000,0.00000004,0.99999689,0.49352954,0.84615385,0.75000000,0.52378764,1.00000000
Protocol-C,standard,1088,Tweed Breakup - Vintage Drive Mix,Tweed Breakup - Vintage Drive Mix blues tweed_breakup guitar_tone audio_agent_preset,TRR-only,Vintage Tweed Breakup,1.00000000,0.00000000,0.00000004,0.99999689,0.49352954,0.84615385,0.75000000,0.52378764,1.00000000
Protocol-C,standard,1088,Tweed Breakup - Vintage Drive Mix,Tweed Breakup - Vintage Drive Mix blues tweed_breakup guitar_tone audio_agent_preset,Fusion,Vintage Tweed Breakup,1.00000000,0.00000000,0.00000004,0.99999689,0.49352954,0.84615385,0.75000000,0.52378764,1.00000000
Protocol-C,standard,1089,Reverse Psychedelic - Alt Take,Reverse Psychedelic - Alt Take fx_reverse reverse_psychedelic guitar_tone audio_agent_preset,Text-only,Reverse Psychedelic Delay,1.00000000,0.00000000,0.00047192,0.99956215,0.27890532,0.65517241,0.50000000,0.50848434,0.33333333
Protocol-C,standard,1089,Reverse Psychedelic - Alt Take,Reverse Psychedelic - Alt Take fx_reverse reverse_psychedelic guitar_tone audio_agent_preset,TRR-only,Reverse Psychedelic Delay,1.00000000,0.00000000,0.00047192,0.99956215,0.27890532,0.65517241,0.50000000,0.50848434,0.33333333
Protocol-C,standard,1089,Reverse Psychedelic - Alt Take,Reverse Psychedelic - Alt Take fx_reverse reverse_psychedelic guitar_tone audio_agent_preset,Fusion,Reverse Psychedelic Delay,1.00000000,0.00000000,0.00047192,0.99956215,0.27890532,0.65517241,0.50000000,0.50848434,0.33333333
Protocol-C,standard,1090,Math Rock Crystal - Alt Take,Math Rock Crystal - Alt Take clean_comp math_rock_crystal guitar_tone audio_agent_preset,Text-only,Math Rock Crystal Cleans,1.00000000,0.00000000,0.00000000,0.99916457,0.19446052,0.56521739,0.45454545,0.89454969,1.00000000
Protocol-C,standard,1090,Math Rock Crystal - Alt Take,Math Rock Crystal - Alt Take clean_comp math_rock_crystal guitar_tone audio_agent_preset,TRR-only,Math Rock Crystal Cleans,1.00000000,0.00000000,0.00000000,0.99916457,0.19446052,0.56521739,0.45454545,0.89454969,1.00000000
Protocol-C,standard,1090,Math Rock Crystal - Alt Take,Math Rock Crystal - Alt Take clean_comp math_rock_crystal guitar_tone audio_agent_preset,Fusion,Math Rock Crystal Cleans,1.00000000,0.00000000,0.00000000,0.99916457,0.19446052,0.56521739,0.45454545,0.89454969,1.00000000
