row_idx,song_name,base_name,split,audio_path_raw,audio_path_resolved,audio_exists,style_count,feature_count,has_trr,has_wav2vec,has_featurenn,has_clap,has_clap_cache
13,Southern Rock,Southern Rock,kb,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Southern Rock.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Southern Rock.wav,1,4,6,1,1,1,0,1
14,Rockabilly Slapback,Rockabilly Slapback,kb,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Rockabilly Slapback.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Rockabilly Slapback.wav,1,4,5,1,1,1,0,1
15,Indie Jangle,Indie Jangle,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Indie Jangle.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Indie Jangle.wav,1,4,6,1,1,1,0,1
16,Midwest Emo,Midwest Emo,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Midwest Emo.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Midwest Emo.wav,1,4,6,1,1,1,0,1
17,Touch Sensitive Lead,Touch Sensitive Lead,kb,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Touch Sensitive Lead.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Touch Sensitive Lead.wav,1,4,5,1,1,1,0,1
18,Wet Fusion,Wet Fusion,kb,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Wet Fusion.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Wet Fusion.wav,1,4,6,1,1,1,0,1
19,Dry Funk,Dry Funk,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Dry Funk.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Dry Funk.wav,1,4,6,1,1,1,0,1
20,Classic Plexi,Classic Plexi,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Classic Plexi.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Classic Plexi.wav,1,5,5,1,1,1,0,1
21,Brown Sound,Brown Sound,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Brown Sound.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Brown Sound.wav,1,4,5,1,1,1,0,1
22,Garage Rock Fuzz,Garage Rock Fuzz,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Garage Rock Fuzz.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Garage Rock Fuzz.wav,1,4,6,1,1,1,0,1
23,Punk Rock Raw,Punk Rock Raw,kb,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Punk Rock Raw.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Punk Rock Raw.wav,1,4,5,1,1,1,0,1
24,Grunge Dirt,Grunge Dirt,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Grunge Dirt.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Grunge Dirt.wav,1,4,6,1,1,1,0,1
25,Stadium Rock Lead,Stadium Rock Lead,kb,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Stadium Rock Lead.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Stadium Rock Lead.wav,1,4,6,1,1,1,0,1
26,Saturated Rhythm,Saturated Rhythm,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Saturated Rhythm.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Saturated Rhythm.wav,1,4,5,1,1,1,0,1
27,Wah-Wah Rock,Wah-Wah Rock,kb,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Wah-Wah Rock.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Wah-Wah Rock.wav,1,4,5,1,1,1,0,1
28,Hard Rock Crunch,Hard Rock Crunch,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Hard Rock Crunch.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Hard Rock Crunch.wav,1,4,5,1,1,1,0,1
29,Brian May Style,Brian May Style,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Brian May Style.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Brian May Style.wav,1,4,5,1,1,1,0,1
30,80s Hair Metal,80s Hair Metal,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\80s Hair Metal.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/80s Hair Metal.wav,1,4,6,1,1,1,0,1
31,Modern Djent,Modern Djent,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Modern Djent.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Modern Djent.wav,1,4,6,1,1,1,0,1
32,Thrash Metal Scoop,Thrash Metal Scoop,kb,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Thrash Metal Scoop.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Thrash Metal Scoop.wav,1,4,6,1,1,1,0,1
33,Swedish Death Metal,Swedish Death Metal,kb,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Swedish Death Metal.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Swedish Death Metal.wav,1,4,6,1,1,1,0,1
34,Doom/Stoner Fuzz,Doom/Stoner Fuzz,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\DoomStoner Fuzz.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/DoomStoner Fuzz.wav,1,4,6,1,1,1,0,1
35,Nu-Metal Chug,Nu-Metal Chug,kb,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Nu-Metal Chug.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Nu-Metal Chug.wav,1,4,6,1,1,1,0,1
36,Industrial Metal,Industrial Metal,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Industrial Metal.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Industrial Metal.wav,1,4,6,1,1,1,0,1
37,Liquid Lead,Liquid Lead,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Liquid Lead.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Liquid Lead.wav,1,4,6,1,1,1,0,1
38,Black Metal Lo-Fi,Black Metal Lo-Fi,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Black Metal Lo-Fi.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Black Metal Lo-Fi.wav,1,4,6,1,1,1,0,1
39,Symphonic Metal,Symphonic Metal,kb,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Symphonic Metal.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Symphonic Metal.wav,1,4,6,1,1,1,0,1
40,Bitcrushed Synth,Bitcrushed Synth,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Bitcrushed Synth.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Bitcrushed Synth.wav,1,4,6,1,1,1,0,1
41,Rotary Speaker,Rotary Speaker,kb,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Rotary Speaker.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Rotary Speaker.wav,1,4,6,1,1,1,0,1
42,Octave Fuzz,Octave Fuzz,kb,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Octave Fuzz.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Octave Fuzz.wav,1,4,6,1,1,1,0,1
43,Tremolo Surf,Tremolo Surf,kb,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Tremolo Surf.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Tremolo Surf.wav,1,4,6,1,1,1,0,1
44,Infinite Sustain,Infinite Sustain,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Infinite Sustain.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Infinite Sustain.wav,1,4,6,1,1,1,0,1
45,Reverse Psychedelic,Reverse Psychedelic,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Reverse Psychedelic.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Reverse Psychedelic.wav,1,4,6,1,1,1,0,1
46,Telephone EQ,Telephone EQ,kb,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Telephone EQ.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Telephone EQ.wav,1,4,6,1,1,1,0,1
47,Underwater,Underwater,kb,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Underwater.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Underwater.wav,1,4,6,1,1,1,0,1
48,Shimmer Reverb,Shimmer Reverb,kb,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Shimmer Reverb.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Shimmer Reverb.wav,1,4,6,1,1,1,0,1
49,Auto-Wah Funk,Auto-Wah Funk,test,C:\Users\80753\Documents\Github\Audio-agent\Experiments\common\..\..\Data\Audio_Synthetic\Auto-Wah Funk.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Auto-Wah Funk.wav,1,4,6,1,1,1,0,1
50,Math Rock Crystal Cleans,Math Rock Crystal Cleans,kb,,,0,4,6,1,0,0,0,0
51,Vintage Tweed Breakup,Vintage Tweed Breakup,kb,,,0,4,5,1,0,0,0,0
52,Dry Funk Rhythm,Dry Funk Rhythm,kb,,,0,3,3,1,0,0,0,0
53,Saturated Drive Rhythm,Saturated Drive Rhythm,kb,,,0,4,5,1,0,0,0,0
54,Reverse Psychedelic Delay,Reverse Psychedelic Delay,kb,,,0,4,6,1,0,0,0,0
55,70s Soft Rock,70s Soft Rock,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\70s Soft Rock.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/70s Soft Rock.wav,1,3,5,1,1,1,1,1
56,90s Alt Rock Clean,90s Alt Rock Clean,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\90s Alt Rock Clean.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/90s Alt Rock Clean.wav,1,3,5,1,1,1,1,1
57,Acid Jazz Groove,Acid Jazz Groove,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Acid Jazz Groove.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Acid Jazz Groove.wav,1,3,5,1,1,1,1,1
58,Afrobeat Percussion,Afrobeat Percussion,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Afrobeat Percussion.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Afrobeat Percussion.wav,1,3,5,1,1,1,1,1
59,Ambient Drone,Ambient Drone,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Ambient Drone.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Ambient Drone.wav,1,3,5,1,1,1,1,1
60,Analog Synth Pad,Analog Synth Pad,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Analog Synth Pad.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Analog Synth Pad.wav,1,3,5,1,1,1,1,1
61,Appalachian Folk,Appalachian Folk,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Appalachian Folk.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Appalachian Folk.wav,1,3,5,1,1,1,1,1
62,Arabic Maqam Fusion,Arabic Maqam Fusion,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Arabic Maqam Fusion.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Arabic Maqam Fusion.wav,1,3,5,1,1,1,1,1
63,Art Rock Theatrical,Art Rock Theatrical,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Art Rock Theatrical.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Art Rock Theatrical.wav,1,3,5,1,1,1,1,1
64,Atmospheric Blackgaze,Atmospheric Blackgaze,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Atmospheric Blackgaze.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Atmospheric Blackgaze.wav,1,3,5,1,1,1,1,1
65,Balearic Beat,Balearic Beat,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Balearic Beat.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Balearic Beat.wav,1,3,5,1,1,1,1,1
66,Baroque Pop,Baroque Pop,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Baroque Pop.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Baroque Pop.wav,1,3,5,1,1,1,1,1
67,Bassline UK,Bassline UK,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Bassline UK.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Bassline UK.wav,1,3,5,1,1,1,1,1
68,Bedroom Pop Lo-Fi,Bedroom Pop Lo-Fi,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Bedroom Pop Lo-Fi.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Bedroom Pop Lo-Fi.wav,1,3,5,1,1,1,1,1
69,Berlin School Synth,Berlin School Synth,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Berlin School Synth.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Berlin School Synth.wav,1,3,5,1,1,1,1,1
70,Big Band Swing,Big Band Swing,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Big Band Swing.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Big Band Swing.wav,1,3,5,1,1,1,1,1
71,Binaural Beats Meditation,Binaural Beats Meditation,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Binaural Beats Meditation.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Binaural Beats Meditation.wav,1,3,5,1,1,1,1,1
72,Bitpop Chiptune,Bitpop Chiptune,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Bitpop Chiptune.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Bitpop Chiptune.wav,1,3,5,1,1,1,1,1
73,Blue-Eyed Soul,Blue-Eyed Soul,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Blue-Eyed Soul.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Blue-Eyed Soul.wav,1,3,5,1,1,1,1,1
74,Bossa Nova Guitar,Bossa Nova Guitar,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Bossa Nova Guitar.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Bossa Nova Guitar.wav,1,3,5,1,1,1,1,1
75,Breakbeat Hardcore,Breakbeat Hardcore,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Breakbeat Hardcore.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Breakbeat Hardcore.wav,1,3,5,1,1,1,1,1
76,Britpop Jangle,Britpop Jangle,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Britpop Jangle.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Britpop Jangle.wav,1,3,5,1,1,1,1,1
77,Bubblegum Pop,Bubblegum Pop,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Bubblegum Pop.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Bubblegum Pop.wav,1,3,5,1,1,1,1,1
78,C86 Indie,C86 Indie,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\C86 Indie.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/C86 Indie.wav,1,3,5,1,1,1,1,1
79,Calypso Rhythm,Calypso Rhythm,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Calypso Rhythm.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Calypso Rhythm.wav,1,3,5,1,1,1,1,1
80,Chamber Folk,Chamber Folk,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Chamber Folk.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Chamber Folk.wav,1,3,5,1,1,1,1,1
81,Chillhop Downtempo,Chillhop Downtempo,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Chillhop Downtempo.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Chillhop Downtempo.wav,1,3,5,1,1,1,1,1
82,Chinese Guzheng Ambient,Chinese Guzheng Ambient,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Chinese Guzheng Ambient.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Chinese Guzheng Ambient.wav,1,3,5,1,1,1,1,1
83,City Pop Smooth,City Pop Smooth,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\City Pop Smooth.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/City Pop Smooth.wav,1,3,5,1,1,1,1,1
84,Cloud Rap Ethereal,Cloud Rap Ethereal,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Cloud Rap Ethereal.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Cloud Rap Ethereal.wav,1,3,5,1,1,1,1,1
85,Coldwave Minimal,Coldwave Minimal,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Coldwave Minimal.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Coldwave Minimal.wav,1,3,5,1,1,1,1,1
86,Congolese Rumba,Congolese Rumba,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Congolese Rumba.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Congolese Rumba.wav,1,3,5,1,1,1,1,1
87,Cosmic Disco,Cosmic Disco,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Cosmic Disco.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Cosmic Disco.wav,1,3,5,1,1,1,1,1
88,Country Twang,Country Twang,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Country Twang.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Country Twang.wav,1,3,5,1,1,1,1,1
89,Crunk Bounce,Crunk Bounce,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Crunk Bounce.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Crunk Bounce.wav,1,3,5,1,1,1,1,1
90,Cyberpunk Synth,Cyberpunk Synth,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Cyberpunk Synth.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Cyberpunk Synth.wav,1,3,5,1,1,1,1,1
91,D-beat Punk,D-beat Punk,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\D-beat Punk.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/D-beat Punk.wav,1,3,5,1,1,1,1,1
92,Dark Cabaret,Dark Cabaret,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Dark Cabaret.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Dark Cabaret.wav,1,3,5,1,1,1,1,1
93,Darkwave Synth,Darkwave Synth,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Darkwave Synth.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Darkwave Synth.wav,1,3,5,1,1,1,1,1
94,Delta Blues Raw,Delta Blues Raw,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Delta Blues Raw.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Delta Blues Raw.wav,1,3,5,1,1,1,1,1
95,Desert Rock Fuzz,Desert Rock Fuzz,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Desert Rock Fuzz.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Desert Rock Fuzz.wav,1,3,5,1,1,1,1,1
96,Detroit Techno,Detroit Techno,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Detroit Techno.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Detroit Techno.wav,1,3,5,1,1,1,1,1
97,Digital Hardcore,Digital Hardcore,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Digital Hardcore.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Digital Hardcore.wav,1,3,5,1,1,1,1,1
98,Disco Funk,Disco Funk,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Disco Funk.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Disco Funk.wav,1,3,5,1,1,1,1,1
99,Doo-Wop Harmony,Doo-Wop Harmony,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Doo-Wop Harmony.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Doo-Wop Harmony.wav,1,3,5,1,1,1,1,1
100,Doom Folk,Doom Folk,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Doom Folk.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Doom Folk.wav,1,3,5,1,1,1,1,1
101,Dream Pop Wash,Dream Pop Wash,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Dream Pop Wash.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Dream Pop Wash.wav,1,3,5,1,1,1,1,1
102,Drill Trap,Drill Trap,kb,C:\Users\80753\Documents\Github\Audio-agent\Data\Audio_Synthetic\Drill Trap.wav,/Users/xyh/Code/Audio-agent/Data/Audio_Synthetic/Drill Trap.wav,1,3,5,1,1,1,1,1
