query_song,retrieved_song,l2,norm_l2,acc@0.1,recall,cosine,module
Ocean Waves Ambient,Dungeon Synth,1.8585506001541479,0.016147611455613938,0.9230769230769231,0.90625,0.9999999065304956,1.0
Future Bass Pluck Bass,Techno Industrial Bass,0.0,0.0,1.0,1.0,1.0,1.0
British Invasion - Studio Mix,British Invasion - Session Pass,0.0,0.0,1.0,1.0,1.0000000000000002,1.0
Ambient Drone,Snowy Ambient,2.902103030562495,0.016382133916150385,0.8717948717948718,0.84375,0.9998847299411521,1.0
Indian Classical Sitar Voyage,Celtic Folk Voyage,0.0,0.0,1.0,1.0,1.0,1.0
Indie Folk Fingerstyle,Introspective Lo-Fi,0.010534436813345104,0.004166868852397384,1.0,1.0,0.9999998044649924,1.0
Mathcore Dissonant Venom,Technical Thrash Venom,0.0,0.0,1.0,1.0,0.9999999999999999,1.0
Film Noir Jazz,Cosmic Jazz,0.04024858653355079,0.00442692588756754,0.9487179487179487,0.8461538461538461,0.9999971760904321,1.0
Dubstep Wobble Pulse,UK Garage Pulse,0.0,0.0,1.0,1.0,0.9999999999999998,1.0
Infinite Sustain,Infinite Sustain - Floating Texture Edit,0.0,0.0,1.0,1.0,1.0,1.0
Contemporary Jazz Improv,Soul Clap Memphis,0.0,0.0,1.0,1.0,1.0000000000000002,1.0
Nashville Session Honky,Reggae Skank Tropical,0.0,0.0,1.0,1.0,0.9999999999999998,1.0
Parisian Café Jazz,Neo-Soul Keys,0.03042224220061406,0.0037993783360363064,0.9743589743589743,0.9230769230769231,0.999998409758995,1.0
Yoruba Praise,Samba Percussion,7.371232329216196,0.018650472992887867,0.8461538461538461,0.8235294117647058,0.9999952277022325,1.0
Neofolk Acoustic,Jazz Fusion Complex,0.006924501277978108,0.003934844306938548,1.0,1.0,0.99999991721579,1.0
Latin Jazz Velvet,Acid Jazz Funk Velvet,0.0,0.0,1.0,1.0,1.0,1.0
Western Swing,Kalimba Melody,5.535019018798541,0.0210685948175753,0.8461538461538461,0.8235294117647058,0.9999998530802673,1.0
Disco Funk,Sophisti-Pop,2.885358236657305,0.013313469436423411,0.8974358974358975,0.8857142857142857,0.9999973134336229,1.0
Sacred Harp,Old School Hip Hop,4.537634015821292,0.020066659816314194,0.8717948717948718,0.8529411764705882,0.9999868915424428,1.0
Acoustic Sim - Glass Tone Pass,Acoustic Sim - Open Chord Mix,0.0,0.0,1.0,1.0,1.0,1.0
Trap Metal Aggressive,Scandinavian Folk,0.7376006146056744,0.009503903671090719,0.9230769230769231,0.8695652173913043,0.9998877008112269,1.0
Synth Pop Shimmer,Country Rock Twang Sunrise,0.0,0.0,1.0,1.0,1.0,1.0
Footwork Jungle,Pixel Art Chiptune,11.77683800560475,0.0176795842382746,0.8974358974358975,0.8787878787878788,0.9998998870809647,1.0
Drum and Bass Neon,Deep House Neon,0.0,0.0,1.0,1.0,0.9999999999999998,1.0
Psychedelic Trance,Dubwise Echo,14.414368904779598,0.021946389257469823,0.8717948717948718,0.8484848484848485,0.9999633597453297,1.0
Bossa Nova Guitar,Japanese City Pop,0.032886752067336475,0.005562699871856184,0.9487179487179487,0.8461538461538461,0.9999980887410878,1.0
Indie Jangle - Open Chord Mix,Indie Jangle - Round Note Cut,0.0,0.0,1.0,1.0,1.0,1.0
Spectral Glow,Hauntology Library,1.528158544936209,0.010873632782320402,0.8974358974358975,0.875,0.9999983655279853,1.0
Dubstep Wobble Cyber,Techno Industrial Cyber,0.0,0.0,1.0,1.0,1.0,1.0
Celtic Folk Sahara,Acid Jazz Funk Velvet,0.0,0.0,1.0,1.0,1.0,1.0
Western Swing Rambler,Soul Clap Memphis,0.0,0.0,1.0,1.0,1.0000000000000002,1.0
Southern Soul Gospel Philly,Memphis Soul Philly,0.0,0.0,1.0,1.0,1.0,1.0
Japanese Enka Andean,Memphis Soul Gospel,0.0,0.0,1.0,1.0,1.0000000000000002,1.0
Classic Plexi,Classic Plexi - Raw Amp Pass,0.0,0.0,1.0,1.0,1.0,1.0
Acid Jazz Funk Improv,Soul Clap Memphis,0.0,0.0,1.0,1.0,1.0000000000000002,1.0
Q-pop Middle Eastern,Dancy Synthpop,9.92888084431034,0.015258669323641463,0.8974358974358975,0.8857142857142857,0.999912498807427,1.0
Chicago Soul Smooth,Acid Jazz Funk Velvet,0.0,0.0,1.0,1.0,1.0,1.0
Deep House Wave,Synthwave Guitar Wave,0.0,0.0,1.0,1.0,1.0,1.0
Deathcore Breakdown Onslaught,Post-Metal Swell Onslaught,0.0,0.0,1.0,1.0,1.0,1.0
Black Metal LoFi Raw,Black Metal Lo-Fi - Steel Edge Mix,0.09472843626738943,0.021330254172014115,0.8974358974358975,0.8,0.9999301786972481,1.0
J-Rock Power,Delta Blues Raw,1.5076080477501517,0.011451904583230681,0.8461538461538461,0.8235294117647058,0.9999998462532793,1.0
Sludge Metal Onslaught,Post-Metal Swell Onslaught,0.0,0.0,1.0,1.0,1.0,1.0
Rave Hardcore,Digital Hardcore,0.2795870122804285,0.01583057107057756,0.8974358974358975,0.8260869565217391,0.9999838065810891,1.0
Southern Soul Gospel Gospel,Memphis Soul Gospel,0.0,0.0,1.0,1.0,1.0000000000000002,1.0
Motown Soul Sweet,Country Rock Twang Sunrise,0.0,0.0,1.0,1.0,1.0,1.0
Garage Rock Fuzz - Vintage Drive Mix,Garage Rock Fuzz - Classic Crunch Edit,0.0,0.0,1.0,1.0,0.9999999999999999,1.0
New Romantic Synth,Eurodance 90s,1.6643986440014475,0.014488417325268184,0.7948717948717948,0.7714285714285715,0.9999821418026662,1.0
Cyberpunk Synth,Piano Ballad,4.2903936912177425,0.01275117784432932,0.8461538461538461,0.8235294117647058,0.9999980386942414,1.0
Country Telecaster Dusty,Acid Jazz Funk Velvet,0.0,0.0,1.0,1.0,1.0,1.0
Coldwave Minimal,Moog Synth Lead,2.883232805421097,0.0132621012093572,0.8974358974358975,0.8857142857142857,0.999994243652169,1.0
Spanish Flamenco,Congolese Rumba,0.8167707364355277,0.005020087434056645,0.9743589743589743,0.9565217391304348,0.9999257059627108,1.0
Punk Ska,Motorcycle Rock,3.5139426465263925,0.013505431505138853,0.8974358974358975,0.8823529411764706,0.9999338462254354,1.0
Touch Sensitive Lead,Touch Sensitive Lead Smooth,0.0860369658180685,0.07906262910435431,0.8717948717948718,0.8518518518518519,0.9999989221220555,1.0
Madchester Baggy,Iranian Classical,0.8523003413086689,0.012192561193779067,0.8717948717948718,0.8529411764705882,0.999999733902308,1.0
Techno Industrial Neon,Deep House Neon,0.0,0.0,1.0,1.0,0.9999999999999998,1.0
Garage Soul,Boogie Woogie Piano,2.178025717396612,0.0119451747106874,0.9230769230769231,0.9142857142857143,0.9999950524274519,1.0
Bluegrass Flatpick Pickin,Memphis Soul Gospel,0.0,0.0,1.0,1.0,1.0000000000000002,1.0
Glitch Noise Drift,Dark Ambient Drone Drift,0.0,0.0,1.0,1.0,1.0,1.0
Synthwave Guitar Digital,UK Garage Digital,0.0,0.0,1.0,1.0,1.0,1.0
Wonky Hip Hop,Underground Hip Hop,3.067763764180759,0.016537047311173614,0.8717948717948718,0.8484848484848485,0.9999866405446208,1.0
Nu-Disco Groove,Sophisti-Pop,3.4660877524512137,0.012231682186754987,0.8974358974358975,0.8857142857142857,0.9999824478894624,1.0
K-Pop Shimmer Tropical,Reggae Skank Tropical,0.0,0.0,1.0,1.0,0.9999999999999998,1.0
Heavy Reverb Vox,Post-Hardcore Screamo,6.904621287819133,0.0136027836868072,0.8974358974358975,0.875,0.999880170049911,1.0
Ethereal Wave,Cinematic Trailer,2.088006582168621,0.015545923060596949,0.9230769230769231,0.90625,0.9999430202907978,1.0
Power Metal Epic Doom,Deathcore Breakdown Doom,0.0,0.0,1.0,1.0,1.0,1.0
Southern Soul Gospel Memphis,Soul Clap Memphis,0.0,0.0,1.0,1.0,1.0000000000000002,1.0
Math Rock Crystal,Math Rock Crystal - Extended Edit,0.0,0.0,1.0,1.0,0.9999999999999998,1.0
Merseybeat Jangle,Stoner Doom,2.4973251279863007,0.01395077434120767,0.8461538461538461,0.8235294117647058,0.9999995855090476,1.0
Saturated Rhythm - Session Pass,Saturated Rhythm - Signature Version,0.0,0.0,1.0,1.0,1.0,1.0
Chamber Folk,Violin Folk,1.0735284979437816,0.0062075170715073045,0.9487179487179487,0.9130434782608695,0.9998705241467498,1.0
Complex Jazz Fusion Groove,Celtic Folk Voyage,0.0,0.0,1.0,1.0,1.0,1.0
Power Pop Indie,Soul Clap Memphis,0.0,0.0,1.0,1.0,1.0000000000000002,1.0
Free Jazz Avantgarde Vibe,Memphis Soul Philly,0.0,0.0,1.0,1.0,1.0,1.0
Grunge Dirt - Hot Valve Version,Grunge Dirt,0.0,0.0,1.0,1.0,1.0,1.0
Doo-Wop Harmony,Ragtime Piano,4.619735248824414,0.02087322578215539,0.7948717948717948,0.7647058823529411,0.9999778744244998,1.0
Nashville Session Sunrise,Country Rock Twang Sunrise,0.0,0.0,1.0,1.0,1.0,1.0
Liquid Lead,Liquid Lead - Raw Amp Pass,0.0,0.0,1.0,1.0,1.0000000000000002,1.0
Cold Synth Pad,IDM Glitch,7.779653607739248,0.014399233775085868,0.8717948717948718,0.8571428571428571,0.9998094106767018,1.0
Swamp Blues,Indie Pop Sparkle,8.005168058262466,0.012143945826741205,0.8717948717948718,0.8529411764705882,0.9997453679315121,1.0
Honky Tonk Piano,Detuned Piano,10.75238030653726,0.018415031681141333,0.8717948717948718,0.8484848484848485,0.9999663128610617,1.0
Dry Funk - Pocket Groove Cut,Dry Funk - Velvet Groove Version,0.0,0.0,1.0,1.0,1.0,1.0
Neo-Psychedelia,Rave Stabs,4.564240336151664,0.01740058974109967,0.8974358974358975,0.8787878787878788,0.9999998310105614,1.0
Neo-Soul Clean - Sync Pulse Mix,Neo-Soul Clean,0.0,0.0,1.0,1.0,1.0,1.0
Sub-Bass Drone,Spring Reverb Surf,4.491957582510873,0.01284948058745951,0.8974358974358975,0.875,0.9999535486249934,1.0
British Invasion - Night Drive Cut,British Invasion - Session Pass,0.0,0.0,1.0,1.0,1.0000000000000002,1.0
Saharan Desert Blues,Opera Rock,0.9686909353375522,0.011389668678719956,0.8461538461538461,0.8235294117647058,0.9999887823647172,1.0
Cool Jazz Smoky,Country Rock Twang Sunrise,0.0,0.0,1.0,1.0,1.0,1.0
Saturated Rhythm - Studio Mix,Saturated Rhythm - Signature Version,0.0,0.0,1.0,1.0,1.0,1.0
Brazilian Funk,Synth Funk,0.6432348536289657,0.013893704486015766,0.8974358974358975,0.8857142857142857,0.999999937316824,1.0
Memphis Soul Soulful,Reggae Skank Tropical,0.0,0.0,1.0,1.0,0.9999999999999998,1.0
Lo-Fi Hip Hop - Session Pass,Lo-Fi Hip Hop - Studio Mix,0.0,0.0,1.0,1.0,0.9999999999999998,1.0
90s Alt Rock Clean,Beat Tape Lo-Fi,0.011313708498984587,0.0027850508914531594,1.0,1.0,0.9999997753568208,1.0
Reggae Skank Heritage,Memphis Soul Philly,0.0,0.0,1.0,1.0,1.0,1.0
Chromatic Jazz,Rhodes Soul,0.0453745099570914,0.004190172478972129,0.9487179487179487,0.8461538461538461,0.9999964383571803,1.0
Middle Eastern Sahara,Acid Jazz Funk Velvet,0.0,0.0,1.0,1.0,1.0,1.0
Fado Melancholy,Ska Upstroke,5.942796861618403,0.018960728144722078,0.8461538461538461,0.8181818181818182,0.9999980975449932,1.0
Bossa Jazz,Talk Box Funk,0.018460630319544265,0.0032695958405721042,1.0,1.0,0.9999994071232695,1.0
Ambient Swells - Halo Sustain Version,Ambient Swells - Floating Texture Edit,0.0,0.0,1.0,1.0,1.0,1.0
Cosmic Disco,Lush Reverb Pad,2.7363920424998334,0.014074038864761143,0.9230769230769231,0.90625,0.999999935805947,1.0
Spring Reverb Twang,Atmospheric Blackgaze,2.9562822286420185,0.013973551634128632,0.8974358974358975,0.875,0.999998358322478,1.0
Gypsy Jazz,Lounge Bossa,0.018432830243053647,0.00365323254969266,0.9743589743589743,0.9230769230769231,0.9999994166676329,1.0
Indie Pop Jangle Sparkle,Acid Jazz Funk Velvet,0.0,0.0,1.0,1.0,1.0,1.0
Dreamy Shoegaze - Halo Sustain Version,Dreamy Shoegaze - Cloud Reverb Pass,0.0,0.0,1.0,1.0,1.0,1.0
Twee Pop,Microhouse Minimal,4.500139211521896,0.012157158491324508,0.8717948717948718,0.8571428571428571,0.9999921292001408,1.0
Krautrock Motorik,Piano Ballad,2.1122700876253786,0.012540505618647592,0.8205128205128205,0.7941176470588235,0.9999981870441785,1.0
Rocksteady Groove,Funky Bassline,3.8444681770177995,0.013263848302521388,0.8974358974358975,0.8857142857142857,0.9999956757064543,1.0
Afrobeat Guitar Sahara,Acid Jazz Funk Velvet,0.0,0.0,1.0,1.0,1.0,1.0
Scandinavian Black Metal,Djent Polyrythm,0.3323466679422372,0.015623442562917844,0.9230769230769231,0.8695652173913043,0.9999658714594968,1.0
Glitch Noise Prism,Overtone Drone Prism,0.0,0.0,1.0,1.0,1.0,1.0
Dubstep Wobble,Palm Muted Riff,13.310598526294946,0.020255368413629782,0.7948717948717948,0.7647058823529411,0.999954527775047,1.0
80s Hair Metal - Precision Chug Version,80s Hair Metal - Wall of Gain Edit,0.0,0.0,1.0,1.0,1.0,1.0
Retro Future Synth,Electropop Glitch,5.449266511450923,0.01384068998906594,0.8717948717948718,0.8571428571428571,0.999909352694505,1.0
Nu Metal 7-String Venom,Technical Thrash Venom,0.0,0.0,1.0,1.0,0.9999999999999999,1.0
Future Bass Pluck Synth,Dubstep Wobble Synth,0.0,0.0,1.0,1.0,1.0,1.0
Brian May Style - Alt Take,Brian May Style - Night Drive Cut,0.0,0.0,1.0,1.0,0.9999999999999999,1.0
Modular Hybrid Prism,Overtone Drone Prism,0.0,0.0,1.0,1.0,1.0,1.0
Mathcore Dissonant Fury,Power Metal Epic Fury,0.0,0.0,1.0,1.0,1.0,1.0
Arabic Maqam Fusion,Gamelan Fusion,1.6599894964140975,0.012223635589743462,0.8717948717948718,0.8529411764705882,0.9999508418027752,1.0
Bhangra Fusion,Celtic Punk,3.072509886070344,0.013747542737031361,0.8717948717948718,0.8529411764705882,0.9999725466822391,1.0
Tweed Breakup - Grit Stack Take,Tweed Breakup - Classic Crunch Edit,0.0,0.0,1.0,1.0,1.0,1.0
Doom/Stoner Fuzz - High Gain Forge,Doom/Stoner Fuzz - Heavy Riff Pass,0.0,0.0,1.0,1.0,1.0,1.0
Lofi Study Beats,Rave Stabs,7.846781656129753,0.018271693443758175,0.8205128205128205,0.7941176470588235,0.9999920197063238,1.0
Mathcore Dissonant Chaos,Folk Metal Acoustic Chaos,0.0,0.0,1.0,1.0,1.0,1.0
Punk Rock Raw,Classic Plexi - Raw Amp Pass,0.3050800483437645,0.021736914098423394,0.9743589743589743,0.9285714285714286,0.9999992696979293,1.0
Celtic Folk Andean,Memphis Soul Gospel,0.0,0.0,1.0,1.0,1.0000000000000002,1.0
Trap Metal Cyber,Techno Industrial Cyber,0.0,0.0,1.0,1.0,1.0,1.0
Studio Clean,80s Pop Clean - Warm Room Take,0.015570097903287212,0.012038732607291306,1.0,1.0,0.9999995580379673,1.0
Hungarian Folk,Island Reggae,0.09826573078216957,0.006966914996733303,0.8974358974358975,0.8260869565217391,0.9999980670135763,1.0
Country Telecaster Outlaw,Celtic Folk Voyage,0.0,0.0,1.0,1.0,1.0,1.0
Steel Pan Calypso,Zouk Rhythm,10.267667561517863,0.019337673156356556,0.8205128205128205,0.7941176470588235,0.9999943384188164,1.0
Banjo Bluegrass,Psybient Trance,7.032212135083847,0.019380173340787836,0.8205128205128205,0.7878787878787878,0.9999942031461775,1.0
Infinite Sustain - Cloud Reverb Pass,Infinite Sustain - Floating Texture Edit,0.0,0.0,1.0,1.0,1.0,1.0
Gypsy Jazz Manouche Nocturne,Reggae Skank Tropical,0.0,0.0,1.0,1.0,0.9999999999999998,1.0
Synthwave Guitar Cyber,Techno Industrial Cyber,0.0,0.0,1.0,1.0,1.0,1.0
K-Pop Shimmer Voyage,Celtic Folk Voyage,0.0,0.0,1.0,1.0,1.0,1.0
Southern Soul Gospel Sweet,Country Rock Twang Sunrise,0.0,0.0,1.0,1.0,1.0,1.0
Reverse Ambient Drift,Dark Ambient Drone Drift,0.0,0.0,1.0,1.0,1.0,1.0
Cool Jazz Blue,Americana Alt Twang,0.0,0.0,1.0,1.0,1.0,1.0
Acoustic Sim - Round Note Cut,Acoustic Sim - Open Chord Mix,0.0,0.0,1.0,1.0,1.0,1.0
Bossa Nova Acoustic Andean,Memphis Soul Gospel,0.0,0.0,1.0,1.0,1.0000000000000002,1.0
Indie Pop Jangle Dream,Americana Alt Twang,0.0,0.0,1.0,1.0,1.0,1.0
Indian Classical Sitar Mystic,Soul Clap Memphis,0.0,0.0,1.0,1.0,1.0000000000000002,1.0
Contemporary Jazz Groove,Celtic Folk Voyage,0.0,0.0,1.0,1.0,1.0,1.0
Raw Black Metal Fury,Power Metal Epic Fury,0.0,0.0,1.0,1.0,1.0,1.0
Lo-Fi Hip Hop,Lo-Fi Hip Hop - Studio Mix,0.0,0.0,1.0,1.0,0.9999999999999998,1.0
Hardstyle Psychedelic Cyber,Techno Industrial Cyber,0.0,0.0,1.0,1.0,1.0,1.0
Southern Soul Gospel Soulful,Reggae Skank Tropical,0.0,0.0,1.0,1.0,0.9999999999999998,1.0
Brown Sound Modern,Brian May Queen Tone,0.09048591036871785,0.04604444797263865,0.8717948717948718,0.7647058823529411,0.9999990420137322,1.0
Pirate Metal,K-Pop Polished,0.0964553836011295,0.013375414771270133,0.8717948717948718,0.782608695652174,0.9999912170692361,1.0
Overtone Drone Glitch,Modular Hybrid Glitch,0.0,0.0,1.0,1.0,1.0,1.0
Hollow Body Jazz,Fender Rhodes Jazz,0.019724382932078878,0.0029335521817953594,0.9743589743589743,0.9230769230769231,0.9999993116254342,1.0
Flamenco Spanish Sahara,Acid Jazz Funk Velvet,0.0,0.0,1.0,1.0,1.0,1.0
Finnish Metal,Norwegian Black Metal,0.5454384498402212,0.014004476086413838,0.9487179487179487,0.9130434782608695,0.9999342161037442,1.0
Broken Beat,Pixel Art Chiptune,6.426553732117615,0.01781043644210677,0.8461538461538461,0.8181818181818182,0.9999469428470542,1.0
Indie Jangle - Warm Room Take,Indie Jangle - Round Note Cut,0.0,0.0,1.0,1.0,1.0,1.0
Italo Disco,Synth Funk,1.7820207055115254,0.013977608212261808,0.8717948717948718,0.8571428571428571,0.9999852061852309,1.0
Cool Jazz Groove,Celtic Folk Voyage,0.0,0.0,1.0,1.0,1.0,1.0
Granular Texture Void,Overtone Drone Void,0.0,0.0,1.0,1.0,1.0,1.0
Motown Soul Gospel,Memphis Soul Gospel,0.0,0.0,1.0,1.0,1.0000000000000002,1.0
Neo-Soul Rhythm Memphis,Soul Clap Memphis,0.0,0.0,1.0,1.0,1.0000000000000002,1.0
Hard Rock Crunch - Hot Valve Version,Hard Rock Crunch - Grit Stack Take,0.0,0.0,1.0,1.0,1.0,1.0
Bitcrushed Synth - Studio Mix,Bitcrushed Synth - Extended Edit,0.0,0.0,1.0,1.0,1.0,1.0
Hyperpop Glitch Synth,Dubstep Wobble Synth,0.0,0.0,1.0,1.0,1.0,1.0
Power Pop Dream,Americana Alt Twang,0.0,0.0,1.0,1.0,1.0,1.0
Minimal Techno,Dancy Synthpop,8.521636217330144,0.012316849652944457,0.8717948717948718,0.8571428571428571,0.9999738560879171,1.0
Crunk Bounce,Nostalgic VHS,1.9244017585226663,0.01856537281201105,0.8717948717948718,0.8484848484848485,0.9999984954188338,1.0
Creole Zydeco,Seapunk Aquatic,2.694297063552324,0.01312477516445905,0.8717948717948718,0.8529411764705882,0.9999956411861409,1.0
Math Rock Crystal - Alt Take,Math Rock Crystal - Extended Edit,0.0,0.0,1.0,1.0,0.9999999999999998,1.0
Saturated Rhythm,Saturated Rhythm - Signature Version,0.0,0.0,1.0,1.0,1.0,1.0
Folk Metal Acoustic Venom,Technical Thrash Venom,0.0,0.0,1.0,1.0,0.9999999999999999,1.0
Sadcore Slowcore,Horror Movie Score,6.012032123700792,0.018617770978923684,0.8461538461538461,0.8181818181818182,0.9999999100594906,1.0
Middle Eastern Andean,Memphis Soul Gospel,0.0,0.0,1.0,1.0,1.0000000000000002,1.0
Electronic Body Music,Deep House Warm,2.2194711717098925,0.01212007309362514,0.8461538461538461,0.8285714285714286,0.9999993563626258,1.0
Synth Pop Dream,Americana Alt Twang,0.0,0.0,1.0,1.0,1.0,1.0
Somali Hip Hop,Romanian Manele,0.12930147638318853,0.004619926172482959,0.9743589743589743,0.9565217391304348,0.9999979207179914,1.0
Hyperpop Glitch Bass,Techno Industrial Bass,0.0,0.0,1.0,1.0,1.0,1.0
Raw Black Metal Chaos,Folk Metal Acoustic Chaos,0.0,0.0,1.0,1.0,1.0,1.0
Funeral Doom Rage,Deathcore Breakdown Rage,0.0,0.0,1.0,1.0,1.0000000000000002,1.0
Mystical Flute,Horror Movie Score,0.6733413048525339,0.014752007178516869,0.8974358974358975,0.8787878787878788,0.999997370229741,1.0
Prepared Guitar Void,Overtone Drone Void,0.0,0.0,1.0,1.0,1.0,1.0
Skweee Synth,Vaporwave Mall,1.9523019877268097,0.014244517426622761,0.8461538461538461,0.8285714285714286,0.9999918637020837,1.0
Rotary Speaker Fast,Rotary Speaker,0.04129898800523338,0.031042041465903156,0.9230769230769231,0.75,0.9999968898031018,1.0
